concept_id,Preferred synonym,Preferred synonym in sentence case,Abbreviation,Fully specified name,legacy_name,legacy_comment
13644009,Hypercholesterolemia,hypercholesterolemia,,Hypercholesterolemia (disorder),Hypercholesterolaemia,Hypercholesterolaemia is a condition where cholesterol levels are elevated
16872008,Severe hereditary factor VIII deficiency disease,severe hereditary factor VIII deficiency disease,,Severe hereditary factor VIII deficiency disease (disorder),Severe haemophilia A,"Hemophilia A, also called factor VIII (FVIII) deficiency or classic hemophilia, is a genetic disorder caused by missing or defective factor VIII, a clotting protein. 

Severe hemophilia:  Percentage of normal factor activity in blood is;  less than 1%

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=649"
16922007,Hereditary coagulation factor deficiency,hereditary coagulation factor deficiency,,Hereditary coagulation factor deficiency (disorder),Haemophilia B,"Hemophilia B, also called factor IX (FIX) deficiency or Christmas disease, is a genetic disorder caused by missing or defective factor IX, a clotting protein.


Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=652"
26929004,Alzheimer's disease,alzheimer's disease,AD,Alzheimer's disease (disorder),Alzheimer's Disease,"A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language. (NCI)"
28293008,Hereditary factor VIII deficiency disease,hereditary factor VIII deficiency disease,,Hereditary factor VIII deficiency disease (disorder),Haemophilia A,"Hemophilia A, also called factor VIII (FVIII) deficiency or classic hemophilia, is a genetic disorder caused by missing or defective factor VIII, a clotting protein.

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=646"
41788008,Hereditary factor IX deficiency disease,hereditary factor IX deficiency disease,,Hereditary factor IX deficiency disease (disorder),Haemophilia B,"Hemophilia B, also called factor IX (FIX) deficiency or Christmas disease, is a genetic disorder caused by missing or defective factor IX, a clotting protein.


Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=652"
44054006,Type 2 diabetes mellitus,type 2 diabetes mellitus,T2DM,Diabetes mellitus type 2 (disorder),Type 2 Diabetes mellitus,"A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity. (NCI)
"
46635009,Type 1 Diabetes mellitus,type 1 diabetes mellitus,T1DM,Diabetes mellitus type 1 (disorder),Type 1 Diabetes mellitus,Type 1 diabetes mellitus
49601007,Disorder of cardiovascular system,disorder of cardiovascular system,CVD,Disorder of cardiovascular system (disorder),Cardiovascular Disease,"A type of disease that affects the heart or blood vessels. The risk of certain cardiovascular diseases may be increased by smoking, high blood pressure, high cholesterol, unhealthy diet, lack of exercise, and obesity. The most common cardiovascular disease is coronary artery disease (narrow or blocked coronary arteries), which can lead to chest pain, heart attacks, or stroke. Other cardiovascular diseases include congestive heart failure, heart rhythm problems, congenital heart disease (heart disease at birth), and endocarditis (inflamed inner layer of the heart). Also called heart disease. (NCI)"
55822004,Hyperlipidemia,hyperlipidemia,,Hyperlipidemia (disorder),Hypercholesterolaemia,Hypercholesterolaemia is a condition where cholesterol levels are elevated
64572001,Disease,disease,,Disease (disorder),Obesity,Obesity
69896004,Rheumatoid arthritis,rheumatoid arthritis,RA,Rheumatoid arthritis (disorder),Rheumatoid arthritis,"Rheumatoid arthritis (RA) - the autoimmune disease that results in a chronic, systemic inflammatory disorder that may affect many tissues and organs, but principally attacks flexible (synovial) joints. It can be a disabling and painful condition, which can lead to substantial loss of functioning and mobility if not adequately treated (wikipedia)."
73211009,Diabetes mellitus,diabetes mellitus,DM,Diabetes mellitus (disorder),Type 2 Diabetes mellitus,"A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity. (NCI)
"
74728003,Hypopituitarism,hypopituitarism,,Hypopituitarism (disorder),Growth Hormone Deficiency Children,"Growth hormone deficiency (GHD) is a medical condition, caused by problems arising in the pituitary gland, in which the body does not produce enough growth hormone (GH). Growth hormone, also called somatropin, is a polypeptide hormone which stimulates growth and cell reproduction."
84114007,Heart failure,heart failure,HF,Heart failure (disorder),Heart Failure Preserved Eject Fraction,HFpEF (Heart Failure with Preserved Ejection Fraction).
85828009,Autoimmune disease,autoimmune disease,,Autoimmune disease (disorder),Rheumatoid arthritis,"Rheumatoid arthritis (RA) - the autoimmune disease that results in a chronic, systemic inflammatory disorder that may affect many tissues and organs, but principally attacks flexible (synovial) joints. It can be a disabling and painful condition, which can lead to substantial loss of functioning and mobility if not adequately treated (wikipedia)."
90708001,Kidney disease,kidney disease,,Kidney disease (disorder),Renal impairment,"Impared Renal Function
"
197315008,Non-alcoholic fatty liver,non-alcoholic fatty liver,NAFLD,Non-alcoholic fatty liver (disorder),Nonalcoholic steatohepatitis,"Nonalcoholic fatty liver disease (NAFLD) is a condition in which fat builds up in your liver. 
Nonalcoholic steatohepatitis (NASH) is a type of NAFLD. If you have NASH, you have inflammation and liver cell damage, along with fat in your liver."
234440005,Factor VIII deficiency,factor VIII deficiency,,Factor VIII deficiency (disorder),Haemophilia A,"Hemophilia A, also called factor VIII (FVIII) deficiency or classic hemophilia, is a genetic disorder caused by missing or defective factor VIII, a clotting protein.

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=646"
