std_assm_grp,std_assm_sub_grp,activity
Laboratory Assessments,Antibodies,Anti-Semaglutide Antibody Confirmation
Laboratory Assessments,Antibodies,Anti-insulin icodec binding antibodies confirmation
Laboratory Assessments,Antibodies,Anti-insulin icodec antibodies cross-reacting
Laboratory Assessments,Antibodies,Antibodies cross reacting native GLP-1
Laboratory Assessments,Antibodies,Semaglutide Antibodies (Titer)
Laboratory Assessments,Antibodies,Anti-insulin icodec antibodies titre
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Acute Urinary Tract Infection
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Aminoglycoside(s)
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Chronic Urinary Tract Infection
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Conditions
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Conditions Other
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Connective Tissue Disease or Vasculitis
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - CT Scan Performed
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Family History of Kidney Disease
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Hypertension
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Other Imaging Performed
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Imaging Performed
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Summary of Imaging Results
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - Initiation of RAS Blockade
AE Requiring Additional Data,Acute Kidney Injury,Acute Kidney Injury - IV Contrast
