"CT_CD_LIST_SUBMVAL","CT_SUBMVAL","CT_NAME","DEFINITION",ORDER,CT_CD,NCI_PREFERRED_NAME,NAME_SUBMVAL
"EVNT_CAT_DEF","ADVERSE EVENT EVNT_CAT","Adverse Event","Adverse event",10,,,
"EVNT_CAT_DEF","AE REQUIRING ADDITIONAL DATA EVNT_CAT","AE Requiring Additional Data","AE requiring additional data - For the SHARP forms",1,,,
"EVNT_CAT_DEF","BLEEDING EVNT_CAT","Bleeding","Bleeding",1,,,
"EVNT_CAT_DEF","BLEEDING EPISODE EVNT_CAT","Bleeding Episode","Bleeding Episode",1,,,
"EVNT_CAT_DEF","BREAST NEOPLASMS EVNT_CAT","Breast Neoplasms","Breast Neoplasms
History of Breast Neoplasms",20,,,
"EVNT_CAT_DEF","CARDIOVASCULAR DISEASE EVNT_CAT","Cardiovascular Disease","Cardiovascular Disease
History of Cardiovascular Disease",31,,,
"EVNT_CAT_DEF","CGM EVNT_CAT","CGM","Continuous Glucose Monitor (CGM)",1,,,
"EVNT_CAT_DEF","COLON NEOPLASMS EVNT_CAT","Colon Neoplasms","Colon Neoplasms
History of Colon Neoplasms",33,,,
"EVNT_CAT_DEF","COMORBIDITIES EVNT_CAT","Comorbidities","Comorbidities
",1,,,
"EVNT_CAT_DEF","COMPLAINT EVNT_CAT","Complaint","Complaint Event Forms",35,,,
"EVNT_CAT_DEF","CONCOMITANT ILLNESS EVNT_CAT","Concomitant Illness","Concomitant illness",34,,,
"EVNT_CAT_DEF","DEMOGRAPHY EVNT_CAT","Demography","Demography",42,,,
"EVNT_CAT_DEF","DETAILS OF HAEMOPHILIA EVNT_CAT","Details of Haemophilia","Details of Haemophilia",1,,,
"EVNT_CAT_DEF","DEVICE PROBLEMS EVNT_CAT","Device Problems","Device problems",10,,,
"EVNT_CAT_DEF","DEVICE USE EVNT_CAT","Device Use","Device Use",1,,,
"EVNT_CAT_DEF","DEVICE USE ERROR EVNT_CAT","Device Use Error","Device Use Error",1,,,
"EVNT_CAT_DEF","DIABETES COMPLICATIONS EVNT_CAT","Diabetes Complications","Diabetes complications",440,,,
"EVNT_CAT_DEF","DIAGNOSIS OF DIABETES EVNT_CAT","Diagnosis of Diabetes","Diagnosis of diabetes",45,,,
"EVNT_CAT_DEF","DISPOSITION EVENT EVNT_CAT","Disposition Event","For SCREEN FAILURE, COMPLETED, DEATH and withdrawal reason.",4,,,
"EVNT_CAT_DEF","DOSING INFORMATION EVNT_CAT","Dosing Information","Dosing Information - Category used for general information regarding dosing, that does not fit in any other category",40,,,
"EVNT_CAT_DEF","DYSLIPIDAEMIA HISTORY EVNT_CAT","Dyslipidaemia History","Dyslipidaemia History",1,,,
"EVNT_CAT_DEF","END OF TRIAL EVNT_CAT","End of Trial","End of trial",52,,,
"EVNT_CAT_DEF","EYE DISORDERS EVNT_CAT","Eye Disorders","Eye Disorders",1,,,
"EVNT_CAT_DEF","GALLBLADDER DISEASE EVNT_CAT","Gallbladder Disease","History of Gallbladder Disease",1,,,
"EVNT_CAT_DEF","GASTROINTESTINAL DISORDERS EVNT_CAT","Gastrointestinal Disorders","Gastrointestinal (GI) disorders is the term used to refer to any condition or disease that occurs within the gastrointestinal tract.",1,,,
"EVNT_CAT_DEF","GENE CONSENT EVNT_CAT","Gene Consent","Gene consent",72,,,
"EVNT_CAT_DEF","GROWTH HORMONE DEFICIENCY EVNT_CAT","Growth Hormone Deficiency","Growth Hormone Deficiency",1,,,
"EVNT_CAT_DEF","HEART FAILURE HOSPITALISATION EVNT_CAT","Heart Failure Hospitalisation","Heart failure hospitalisation",1,,,
"EVNT_CAT_DEF","HEPATIC IMPAIRMENT EVNT_CAT","Hepatic Impairment","Hepatic impairment",1,,,
