"table","column","enrich_build_order","enrich_rule"
"AE","*",60,
"AG","*",610,
"APAE","*",20060,
"APCE","*",20068,
"APCM","*",20080,
"APDD","*",20620,
"APDM","*",20008,
"APFACE","*",20208,
"APHO","*",20220,
"APMH","*",20268,
"APQS","*",20340,
"APRP","*",20348,
"APRS","*",20360,
"APSC","*",20368,
"APVS","*",20440,
"APZA","*",20460,
"CE","*",70,
"CM","*",80,
"CO","*",480,
"CV","*",700,
"DA","*",90,
"DD","*",620,
"DE","*",1010,
"DI","*",1000,
"DM","*",10,
"DO","*",1040,
"DR","*",1090,
"DS","*",120,
"DT","*",1060,
"DU","*",1020,
"DV","*",550,
"DX","*",1030,
"EC","*",180,
"EG","*",190,
"EX","*",200,
"FA","*",210,
"FAXB","*",695,
"FT","*",345,
"HO","*",220,
"IE","*",525,
"IS","*",240,
"LB","*",250,
"MB","*",260,
"MH","*",270,
"MI","*",280,
"ML","*",600,
"MO","*",290,
"MS","*",300,
"OE","*",680,
"PC","*",310,
"PE","*",320,
"PF","*",670,
"PR","*",330,
"QS","*",340,
"RE","*",630,
"RELREC","*",560,
"RP","*",350,
"RS","*",360,
"SC","*",370,
"SE","*",50,
"SR","*",380,
"SS","*",390,
"SU","*",400,
"SV","*",410,
"TA","*",40,
"TD","*",510,
"TE","*",30,
"TI","*",520,
"TR","*",420,
"TS","*",30000,
"TU","*",430,
"TV","*",20,
"VS","*",440,
"XA","*",640,
"XB","*",690,
"XD","*",555,
"XH","*",450,
"XL","*",10024,
"XR","*",650,
"XS","*",660,
"XV","*",10044,
"ZA","*",460,
"ZE","*",181,
"ZL","*",10034,
"ZV","*",10054,
"AE","AEBDSYCD",30,"sdtme_std_cd_v$$"
"AE","AEBODSYS",30,"sdtme_std_cd_v$$"
"AE","AEDECOD",30,"sdtme_std_cd_v$$"
"AE","AEENDY",10,"sdtme_std_dy_v$$"
"AE","AEEPRELI",80,"sdtme_std_epreli_v$$"
"AE","AEHLGT",30,"sdtme_std_cd_v$$"
"AE","AEHLGTCD",30,"sdtme_std_cd_v$$"
"AE","AEHLT",30,"sdtme_std_cd_v$$"
"AE","AEHLTCD",30,"sdtme_std_cd_v$$"
"AE","AELLT",30,"sdtme_std_cd_v$$"
"AE","AELLTCD",30,"sdtme_std_cd_v$$"
"AE","AEPTCD",30,"sdtme_std_cd_v$$"
"AE","AESOC",30,"sdtme_std_cd_v$$"
"AE","AESOCCD",30,"sdtme_std_cd_v$$"
"AE","AESTDY",10,"sdtme_std_dy_v$$"
"AE","DOMAIN",60,"sdtme_ae_teae_v$$"
"AE","DOMAIN",70,"sdtme_std_qnam_v$$"
"AE","ELEMENT",50,"sdtme_std_etcd_v$$"
"AE","EPOCH",40,"sdtme_std_epoch_v$$"
