TOPIC_CD,adam_param_code,SDTM_DOMAIN,activity,activity_instance,specimen,laterality,location,legacy_description,sub_domain_class,GENERAL_DOMAIN_CLASS,stdm_codelist,sdtm_variable,sdtm_cat,sdtm_sub_cat,std_unit,unit_dimension,molecular_weight,si_unit,us_conv_unit
ACUTE KIDNEY INJURY,AKI,CE,Acute Kidney Injury,Acute Kidney Injury,,,,Acute Kidney Injury,PERIODIC,EVENTS,NO_LINKAGE_NEEDED,No Linkage Needed,AE REQUIRING ADDITIONAL DATA,,,,,,
ACUTE_KIDNEY_INJURY_ACUTE_URINARY_TRACT_INFECTION,AKIAURIN,FA,Acute Kidney Injury - Acute Urinary Tract Infection,Acute Kidney Injury - Acute Urinary Tract Infection,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Acute urinary tract infection",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Acute Urinary Tract Infection,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_ACUTE_URINARY_TRACT_INFECTION,AKIAURIN,FA,Acute Kidney Injury - Acute Urinary Tract Infection,Acute Kidney Injury - Acute Urinary Tract Infection,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Acute urinary tract infection",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIAURIN,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_AMINOGLYCOSIDE,AKIAMINO,FA,Acute Kidney Injury - Aminoglycoside(s),Acute Kidney Injury -  Aminoglycoside(s),,,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months.
Aminoglycoside(s)",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Nephrotoxic Treatment Aminoglycoside,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_AMINOGLYCOSIDE,AKIAMINO,FA,Acute Kidney Injury - Aminoglycoside(s),Acute Kidney Injury -  Aminoglycoside(s),,,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months.
Aminoglycoside(s)",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIAMINO,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_CHRONIC_URINARY_TRACT_INFECTION,AKICURIN,FA,Acute Kidney Injury - Chronic Urinary Tract Infection,Acute Kidney Injury - Chronic Urinary Tract Infection,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Chronic urinary tract infection",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Chronic Urinary Tract Infection,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_CHRONIC_URINARY_TRACT_INFECTION,AKICURIN,FA,Acute Kidney Injury - Chronic Urinary Tract Infection,Acute Kidney Injury - Chronic Urinary Tract Infection,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Chronic urinary tract infection",CATEGORIC FINDING,FINDINGS,FATESTCD,AKICURIN,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_CONDITIONS,AKICONDI,FA,Acute Kidney Injury - Conditions,Acute Kidney Injury - Conditions,,,,Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event,CATEGORIC FINDING,FINDINGS,FATEST,AKI-Conditions,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_CONDITIONS,AKICONDI,FA,Acute Kidney Injury - Conditions,Acute Kidney Injury - Conditions,,,,Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event,CATEGORIC FINDING,FINDINGS,FATESTCD,AKICONDI,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_CONDITIONS_OTHER,AKICONOT,FA,Acute Kidney Injury - Conditions Other,Acute Kidney Injury - Conditions Other,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Other, specify",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Conditions Other,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
