LEVEL_0_CLASS,LEVEL_1_CLASS,LEVEL_2_CLASS,LEVEL_3_CLASS,LEVEL_4_CLASS,DOMAIN_SPECIFIC,DEFINITION,ORDER
Observation,SubjectObservation,SpecialPurpose,Demographics,,Yes,,1
Observation,SubjectObservation,SpecialPurpose,Comments,,Yes,,2
Observation,SubjectObservation,Finding,NumericFinding,,No,,3
Observation,SubjectObservation,Finding,CategoricFinding,,No,,4
Observation,SubjectObservation,Finding,TextualFinding,,No,,5
Observation,SubjectObservation,Event,AdverseEvent,AdverseEventProduct,Yes,,7
Observation,SubjectObservation,Event,MedicalHistory,,Yes,,8
Observation,SubjectObservation,Event,Disposition,,Yes,,9
Observation,SubjectObservation,Event,HypoglycaemicEpisode,,Yes,,10
Observation,SubjectObservation,Intervention,CompoundDosing,,Yes,,12
Observation,SubjectObservation,Intervention,ConcomitantMedication,,Yes,,15
Observation,DeviceObservation,DeviceFinding,DeviceNumericFinding,,No,,16
Observation,AssociatedPersonsObservation,AssociatedPersonsFinding,AssociatedPersonsNumericFinding,,No,,17
Observation,AssociatedPersonsObservation,AssociatedPersonsFinding,AssociatedPersonsCategoricFinding,,No,,18
Observation,AssociatedPersonsObservation,AssociatedPersonsFinding,AssociatedPersonsTextualFinding,,No,,19
Observation,AssociatedPersonsObservation,AssociatedPersonsEvent,AssociatedPersonsAdverseEvent,,No,,20
Observation,AssociatedPersonsObservation,AssociatedPersonsEvent,AssociatedPersonsAdverseEventProduct,,No,,21
Observation,AssociatedPersonsObservation,AssociatedPersonsEvent,AssociatedPersonsMedicalHistory,,No,,22
Observation,AssociatedPersonsObservation,AssociatedPersonsIntervention,AssociatedPersonsCompoundDosing,,No,,23
Observation,AssociatedPersonsObservation,AssociatedPersonsIntervention,AssociatedPersonsConcomitantMedication,,No,,24
Observation,SubjectObservation,Other,OtherQualifiers,,No,,25
