"tsparmcd","tsparm","core","order","origin","xmlcodelist","term","definition","notes","comment","nullflavor","forceval","condition","validvalue","cardinality"
"ACTSUB","Actual Number of Subjects","Required",38,"Derived",,,"Actual number of subjects enrolled; may include subjects who were not randomized.",,"Create derivation from DM domain on number of subjects included in the trial. Confirm that screening failure subjects not are counted.","-",,,"ge 0","ONE"
"ADAPT","Adaptive Design","Required",20,"Protocol","NY","(NY)","Indicate if the study includes a prospectively planned opportunity for modification of one or more specified aspects of the study design and hypotheses based on analysis of data (usually interim data) from subjects in the study.","Does the protocol include any adaptive design features?",,"*MMA",,,,"ONE"
"ADDON","Added on to Existing Treatments","Required",16,"Protocol","NY","(NY)","The addition of a therapeutic product to the existing regimen in a clinical trial, where both entities remain as discrete products.",,,"*MMA",,,,"ONE"
"AGEMAX","Planned Maximum Age of Subjects","Required",36,"Protocol",,"ISO 8601","The anticipated maximum age of the subjects to be entered in a clinical trial. (NCI)","If there is no maximum age, TSVALNF = PINF",,"PINF",,,,"ONE"
"AGEMIN","Planned Minimum Age of Subjects","Required",37,"Protocol",,"ISO 8601","The anticipated minimum age of the subjects to be entered in a clinical trial. (NCI)","If there is no minimum age, populate TSVAL with ""P0Y"".",,"-","P0Y",,,"ONE"
"BIOSPRET","Biospecimen Retention Contains DNA",,999,,,,"A textual description as to whether a biospecimen is retained and/or contains DNA.",,,,,,,
"CITNSTDY","Citation Used in Study",,999,,,,"A bibliographical reference related to a particular study.",,,,,,,
"CMSPSTAT","Commercial Sponsor Status",,999,,,,"The state or condition of the sponsor as pertains to whether the sponsor is considered a commercial entity.",,,,,,,
"COMPTRT","Comparative Treatment Name","If Applicable",15,"Protocol",,"UNII","A therapeutically active agent that is intended to provide reference measurements for the experimental protocol of a clinical trial.","If applicable. Don't include if there are no active comparators. Use as many rows as needed.",,"-",,,,"MANY"
"CONEMAIL","Contact E-Mail Address",,999,,,,"E-mail address of study contact.",,,,,,,
"CONMAIL","Contact Mailing Address",,999,,,,"Mailing address of study contact.",,,,,,,
"CONNAME","Contact Name",,999,,,,"Name of study contact.",,,,,,,
"CONPHONE","Contact Phone Number",,999,,,,"Phone number of study contact.",,,,,,,
"CONROLE","Contact Role",,999,,,,"Role of study contact.",,,,,,,
