dataset,variable_class,order,name,datatype,length,required,label
LAB,STUDYID,1,STUDYID,VARCHAR2,40,Mandatory,"Study ID. Default to 'XX9999-9999'."
LAB,DOMAIN,2,DOMAIN,VARCHAR2,8,Mandatory,"SDTM domain. Default to 'LB'."
LAB,SITE,3,SITE,VARCHAR2,20,Mandatory,Site identifier, e.g. '101'.
LAB,SUBJID,4,SUBJID,VARCHAR2,20,Mandatory,Subject identifier, e.g. '101201'.
LAB,FSUBJID,5,FSUBJID,VARCHAR2,20,Mandatory when scrambled subject IDs are used for blinding,"Scrambled subject ID. [If scrambling is not needed:] Default to NULL."
LAB,VISIT,6,VISIT,VARCHAR2,64,Mandatory,Visit name, see 'Visits' sheet.
LAB,LBREFID,7,LBREFID,VARCHAR2,80,Mandatory,"Unique sample identifier: Sample ID, requisition number or barcode, e.g. 'AB124578'."
LAB,TOPICCD,8,TOPICCD,VARCHAR2,80,Mandatory,Topic code, see 'Lab, content' sheet.
LAB,SUPTEST,9,SUPTEST,VARCHAR2,100,Optional,Supplier assessment name.
LAB,--ORRES,10,LBORRES,VARCHAR2,200,Mandatory when a result is obtained,"Result. LBORRES should be NULL if a result is not obtained. If the result is categorical, the LBORRES value should be compliant with CDISC CT codelist LBSTRESC (e.g. 'NEGATIVE')  or sponsor-defined extensions."
LAB,UNITCOLL,11,UNITCOLL,VARCHAR2,40,Mandatory when a result is obtained for numeric assessments except for unitless data,"Collected unit. UNITCOLL should be compliant with CDISC CT codelist UNIT (e.g. 'mmol/L') or sponsor-defined extensions. Supplier should not perform unit-based conversion of results. UNITCOLL should be NULL for unitless data, e.g. pH."
LAB,--ORNRLO,12,LBORNRLO,VARCHAR2,40,Mandatory if there is a reference range with a lower limit,"Lower limit of supplier reference range applicable to the subject in same unit as the result. LBORNRLO should be NULL if there is not a lower limit."
LAB,--ORNRHI,13,LBORNRHI,VARCHAR2,40,Mandatory if there is a reference range with an upper limit,"Upper limit of supplier reference range applicable to the subject in same unit as the result. LBORNRHI should be NULL if there is not an upper limit."
LAB,--NRIND,14,LBNRIND,VARCHAR2,20,Mandatory if LBORNRLO and/or LBORNRHI are populated,"Reference range indicator. Indicates where the result falls with respect to reference range defined by LBORNRLO and LBORNRHI: - 'LOW' - 'NORMAL' - 'HIGH'"
LAB,--STAT,15,LBSTAT,VARCHAR2,40,Mandatory when a result is not obtained,"Completion status. Populate with 'NOT DONE' if LBORRES is NULL, otherwise NULL."
LAB,--REASND,16,LBREASND,VARCHAR2,200,Mandatory when a result is not obtained,Reason why result could not be obtained.
LAB,--NAM,17,LBNAM,VARCHAR2,40,Mandatory,"Short name of the laboratory that performed the assessment. Default to 'LAB X'. [Short name as specified in 'List of MFT suppliers'. Note that if the supplier is delivering results from assessments performed by other labs, the red text above should be changed to list the names of these  labs.]"
LAB,--LOINC,18,LBLOINC,VARCHAR2,200,Optional,LOINC code.
LAB,LOINCVER,19,LOINCVER,VARCHAR2,20,Optional,LOINC code version.
LAB,--SPEC,20,LBSPEC,VARCHAR2,80,Mandatory, except in rare cases where specimen is irrelevant,"Specimen type. LBSPEC should be compliant with CDISC CT codelist SPECTYPE (e.g. 'PLASMA', 'SERUM', 'URINE') or sponsor-defined extensions."
LAB,--SPCCND,21,LBSPCCND,VARCHAR2,40,Optional,"Specimen condition. Used in cases where a result is obtained, but the sample is less than optimal. LBSPCCND should be compliant with CDISC CT codelist SPECCOND (e.g. 'HEMOLYZED') or sponsor-defined extensions."
LAB,--METHOD,22,LBMETHOD,VARCHAR2,80,Optional,"Method of assessment or examination. LBMETHOD should be compliant with CDISC CT codelist METHOD (e.g. 'ELISA') or sponsor-defined extensions."
LAB,--ANMETH,23,LBANMETH,VARCHAR2,80,Optional,"Analysis method. Describes the method of secondary processing applied to a complex observation result, e.g. 'CREATININE 2021 CKD-EPI FORMULA'."
LAB,--FAST,24,LBFAST,VARCHAR2,2,Mandatory when fasting status affects an assessment and/or is specified in the protocol,"Fasting status. - If subject was fasting: 'Y' - If subject was not fasting: 'N' - If not relevant: NULL"
LAB,--DTC,25,LBDTC,VARCHAR2,64,Mandatory when date is present at source,"Datetime of specimen collection in ISO 8601 format: YYYY-MM-DDTHH:MM:SS, e.g. 2020-10-12T14:30:15."
LAB,--TPT,26,LBTPT,VARCHAR2,80,Mandatory when assessment is performed at a planned time point,Planned time point name, e.g. '10 MIN AFTER', see 'Time points' sheet.
LAB,SUBEVNUM,27,SUBEVNUM,NUMBER,,Mandatory,"Subevent number, which is used to distinguish unplanned resampling. Resampling is done when the original sample cannot be used. - If no resampling: SUBEVNUM should be 0. - If resampling is done for the same VISIT, SUBJID and TOPICCD but different --DTC and --REFID: SUBEVNUM should be 0 for the first sample and it should be incremented by 1 for each new sample. Note: SUBEVNUM should not be used for retest of the same sample as only the final test result should be delivered. "
LAB,COMMENTALL,28,COMMENTALL,VARCHAR2,200,Optional,Comments that do not fit into other columns.
