Row # (not a code),UCUM_CODE,"Description of the Unit (using UCUM descriptions where they exist)",Comment,Last Updated (see Revisions tab for details),Version correction published,Corrected by (initials RG = Rebecca Goodwin),"Row #
at time of correction (not a code)",Previous UCUM version (with Errors or Omissions),Description of Change Made
0,pmol.l/(min.mmol.kg),picomole liter per minute millimole kilo,,,,,,,
1,mmol/L/min,millimole per liter per minute,,,,,,,
2,(pmol/L)/(U/kg),picomole per liter per unit per kilogram,,,,,,,
3,pmol/kg/min,picomole per kilogram per minute,,,,,,,
4,U/wk,unit per week,,,,,,,
5,%.min,percent minute,,,,,,,
6,h.m[IU]/L,hour milliinternational unit per liter,,,,,,,
7,mmol/L/U,millimole per liter per unit,,,,,,,
8,kJ,kilojoule,,,,,,,
9,min.[IU]/L,minute international unit per liter,,,,,,,
10,h.pmol/L,hour picomole per liter,,,,,,,
11,h.mg/dL,hour milligram per deciliter,,,,,,,
12,pmol.min/kg,picomole minute per kilo,,,,,,,
13,mg/dL/h,milligram per deciliter per hour,,,,,,,
14,nmol.h/L/mg,nanomole hour per liter per milligram,,,,,,,
15,MJ,megajoule,,,,,,,
16,kJ/h,kilojoule per hour,,,,,,,
17,cm/a,centimeter per annum (year),,,,,,,
18,mm[Hg].{beats}/min,millimeter of mercury heart beats per minute,,,,,,,
19,mL/(h.kg),milliliter per hour per kilogram,,,,,,,
20,mL/h/kg,milliliter per hour per kilogram,,,,,,,
21,min.mmol/L,minute millimole per liter,,,,,,,
22,d.ug/mL,day microgram per milliliter,,,,,,,
23,h.kg/L,hour kilogram per liter,,,,,,,
24,mmol/L2,millimole per square liter,,,,,,,
25,mU/kg/min,milliunit per kilogram per minute,,,,,,,
26,mU/(kg.min),milliunit per kilogram per minute,,,,,,,
27,pmol/kg,picomole per kilogram,,,,,,,
28,min.pmol/L,minute picomole per liter,,,,,,,
29,h.ng/mL,hour nanogram per milliliter,,,,,,,
30,mL/100.mL/min,milliliter per one hundred milliliter per minute,,,,,,,
31,mmol/L/h,millimole per liter per hour,,,,,,,
32,1/m,per meter,,,,,,,
33,mL/wk,milliliter per week,,,,,,,
34,min.umol/L,minute micromole per liter,,,,,,,
35,min.ug/mL,minute microgram per milliliter,,,,,,,
36,mg/dL/U,milligram per deciliter per unit,,,,,,,
37,kJ/d,kilojoule per day,,,,,,,
38,kJ/min,kilojoule per minute,,,,,,,
39,L/(h.100.kg),liter per hour per one hundred kilogram,,,,,,,
40,min.nmol/L,minute nanomole per liter,,,,,,,
41,h.u[IU]/mL,hour microinternational unit per milliliter,,,,,,,
42,h.nmol/L,hour nanomole per liter,,,,,,,
43,min.ng/mL,minute nanogram per milliliter,,,,,,,
44,mL/dL/min,milliliter per deciliter per minute,,,,,,,
45,g/wk,gram per week,,,,,,,
46,0/00,parts per thousand,,,,,,,
47,h.pg/mL,hour picogram per milliliter,,,,,,,
48,[IU]/mL/[IU]/kg,international unit per milliliter per international unit per kilogram,,,,,,,
49,mg/dL2,milligram per square deciliter,,,,,,,
50,(pmol.h/L)/(U/kg),picomole hour per liter per unit per kilogram,,,,,,,
51,kJ/kg,kilojoule per kilogram,,,,,,,
52,L/h/kg,liter per hour per kilogram,,,,,,,
53,min.pg/mL,minute picogram per milliliter,,,,,,,
54,min.nmol/L,minute nanomole per liter,,,,,,,
55,h.ng/L,hour nanogram per liter,,,,,,,
56,h.ug/mL,hour microgram per milliliter,,,,,,,
57,h.u[IU]/mL,hour microinternational unit per milliliter,,,,,,,
58,h.ng/L,hour nanogram per liter,,,,,,,
59,h.mmol/L,hour millimole per liter,,,,,,,
60,{RFU},relative fluorescence intensity unit,,,,,,,
61,um2,square micrometer,,,,,,,
62,10^8/l,hundred million per liter,,,,,,,
63,10^10/L,ten billion per liter,,,,,,,
64,10*7/l,ten million per liter,,,,,,,
65,10^8/l,hundred million per liter,,,,,,,
66,10*6/{Ejaculate U},million per ejaculate unit,,,,,,,
67,10*7/l,ten million per liter,,,,,,,
68,10^10/L,ten billion per liter,,,,,,,
69,{copies}/ul,copies per microliter,,,,,,,
70,g/mol,gram per mole,,,,,,,
71,ug.eq/l,microgram equivalent per liter,,,,,,,
72,ug.eq/l,microgram equivalent per liter,,,,,,,
73,g/mol,gram per mole,,,,,,,
74,umol/L/min,micromole per liter per minute,,,,,,,
75,nmol/l/min,nanomole per liter per minute,,,,,,,
76,ug/l/h,microgram per liter per hour,,,,,,,
77,nmol/l/min,nanomole per liter per minute,,,,,,,
78,{STEP},step unit of distance,,,,,,,
79,{counts}/min,count per minute,,,,,,,
80,{counts}/min,count per minute,,,,,,,
81,umol/kg/min,micromole per kilogram per minute,,,,,,,
82,{U},unit,,,,,,,
83,[MET],metabolic equivalent of task unit,,,,,,,
84,[MET].min,metabolic equivalent of task minute,,,,,,,
85,W,watt,,,,,,,
86,[MET].min,metabolic equivalent of task minute,,,,,,,
87,W,watt,,,,,,,
88,[beth'U]/mL,bethesda unit per milliliter,,,,,,,
89,/{VF},per visual field,,,,,,,
90,{OD Unit},unit of optical density,,,,,,,
91,{Absorbance U},absorbance unit,,,,,,,
92,{OD Unit},unit of optical density,,,,,,,
93,{fraction of 1},fraction of 1,,,,,,,
94,{fraction of 1},fraction of 1,,,,,,,
95,{Ratio},ratio,,,,,,,
96,MBq,megabecquerel,,,,,,,
97,{Unit}/kg,unit per kilogram,,,,,,,
98,mL/10*2.g/min,milliliter per 100 grams per minute,,,,,,,
99,mol/g,mole per gram,,,,,,,
100,ukat/l,microkatal per liter,,,,,,,
101,{Unit}/L,unit per liter,,,,,,,
102,{Unit}/ml,unit per milliliter,,,,,,,
103,{Unit}/L,unit per liter,,,,,,,
104,mL/min/(173/100).m2,milliliter per minute per 1.73 m2 of body surface area,,,,,,,
105,mL/min/(173/100).m2,milliliter per minute per 1.73 m2 of body surface area,,,,,,,
106,mCi/l,millicurie per liter,,,,,,,
107,mCi/l,millicurie per liter,,,,,,,
108,{disintegrations}/min/mL,disintegration per minute per milliliter,,,,,,,
109,Bq/mL,becquerel per milliliter,,,,,,,
110,10^10/L,ten billion per liter,,,,,,,
111,ug.eq/l,microgram equivalent per liter,,,,,,,
112,{nmolBCE}/L,nanomole bone collagen equivalent per liter,,,,,,,
113,ug/l/h,microgram per liter per hour,,,,,,,
114,umol/kg/min,micromole per kilogram per minute,,,,,,,
115,g/{U},gram per unit,,,,,,,
116,ml/g/min,milliliter per gram per minute,,,,,,,
117,ml/s/m2,milliliter per second per square meter,,,,,,,
118,10.L/min,10 liter per minute,,,,,,,
119,10.L/(min.m2),10 liter per minute per square meter,,,,,,,
120,10.uN.s/(cm5.m2),10 micronewton second per centimeter to the fifth power per square meter,,,,,,,
121,10*4/uL,10 thousand per microliter,,,,,,,
122,10*8,100 million ,,,,,,,
123,24.h,24 hour,,,,,,,
124,{absorbance},absorbance,,,,,,,
125,{activity},activity,,,,,,,
126,[AU],allergy unit,,,,,,,
127,{AHF'U},American Hospital Formulary unit,,31-01-2014,v 1.2 released 2/6/2014,RG,10.0,{AHFU},Changed apostrophe format from  to '
128,A,ampere,,,,,,,
129,A/m,ampere per meter,,,,,,,
130,[arb'U],arbitrary unit,,,,,,,
131,[arb'U]/mL,arbitrary unit per milliliter,,,,,,,
132,{ARU},aspirin response unit,,,,,,,
133,atm,atmosphere,,,,,,,
134,ag/{cell},attogram per cell,,,,,,,
135,bar,bar,,,,,,,
136,Bq,Becquerel,,,,,,,
137,[beth'U],Bethesda unit,,31-01-2014,v 1.2 released 2/6/2014,RG,20.0,[bethU],Changed apostrophe format from  to '
138,10*9/L,billion per liter,,,,,,,
