ACTIVITY_INSTANCE_CLASS,ACTIVITY_ITEM_CLASS,DEFINITION,NCI_C_CODE,SPONSOR_CONCEPT_CODE,LEGACY_CDW_COLUMN,MANDATORY,IS_ADAM_PARAM_SPECIFIC_ENABLED,ORDER,DATA_COLLECTION,SEMANTIC_ROLE,SEMANTIC_DATA_TYPE,CODELIST
GeneralObservation,domain,SDTM domain,C66734,,,No,No,1,No,IDENTIFIER,TEXT,DOMAIN
GeneralObservation,study_id,Study identifier,C83082,,,No,No,2,No,IDENTIFIER,TEXT,
GeneralObservation,group_id,group identifier,C82529,,,No,No,3,Yes,IDENTIFIER,TEXT,
GeneralObservation,link_id,Link ID,C117050,,,No,No,4,Yes,IDENTIFIER,TEXT,
GeneralObservation,link_group,Link Group ID,C117049,,,No,No,5,Yes,IDENTIFIER,TEXT,
GeneralObservation,associated_persons_id,Associated persons identifier,C117707,,,No,No,6,Yes,IDENTIFIER,TEXT,
GeneralObservation,related_device_id,Related device identifier,,,,No,No,7,Yes,IDENTIFIER,TEXT,
SubjectObservation,subject_id,"A sequence of characters used to identify, name, or characterize a trial or study subject.",C83083,,,No,No,1,Yes,IDENTIFIER,TEXT,
SubjectObservation,unique_subject_id,A unique identifier for a subject in a study.,C69256,,,No,No,2,No,IDENTIFIER,TEXT,
SubjectObservation,related_subject_id,Related subject identifier,,,,No,No,3,No,IDENTIFIER,TEXT,
Comments,reference_id,Reference identifier,C82531,,,No,No,1,Yes,IDENTIFIER,TEXT,
Comments,related_domain_abbreviation,Related domain abbreviation,C83391,,,No,No,2,Yes,RECOQUAL,TEXT,
Comments,comment_reference,Reference associated with the comment,C82504,,,No,No,2,Yes,RECOQUAL,TEXT,
Comments,comment,Text of the comment,C70936,,,No,No,3,Yes,TOPIC,TEXT,
Comments,evaluator,Role of the person who provided the evaluation.,C51824,,,No,No,4,Yes,RECOQUAL,TEXT,
Comments,evaluator_id,Used to distinguish multiple evaluators with the same role recorded in evaluator.,C117043,,,No,No,5,Yes,VARIQUAL,TEXT,MEDEVAL
Comments,collection_datetime,Date/time of comment,C82515,,,No,No,6,Yes,TIMING,TEXT,
Demographics,date_of_birth,Date of birth of the subject,C69259,,,No,No,1,Yes,RECOQUAL,TEXT,
Demographics,age,Age of the subject,C25150,,,No,No,2,Yes,RECOQUAL,FLOAT,
Demographics,age_unit,Unit of age of the subject,C50400,,,No,No,3,Yes,VARIQUAL,TEXT,AGEU
Demographics,sex,Sex of the subject,C28421,,,No,No,4,Yes,RECOQUAL,TEXT,SEX
Demographics,race,Self reported race of the subject,C74457,,,No,No,5,Yes,RECOQUAL,TEXT,RACE
Demographics,ethnicity,Ethnicity of the subject,C128690,,,No,No,6,Yes,RECOQUAL,TEXT,ETHNIC
Events,reference_id,Reference identifier,C82531,,,No,No,1,Yes,IDENTIFIER,TEXT,
Events,term,Verbatim name of the observed event,C82571,,,No,No,2,Yes,TOPIC,TEXT,
Events,decod,Dictionary-derived form of the event,C170991,,,No,No,3,No,SYNOQUAL,TEXT,NCOMPLT; PROTMLST
Events,continuing,Continuing,C53279,,,No,No,4,Yes,RECOQUAL,TEXT,NY
Events,start_datetime,Start date/time of the event,C82517,,,No,No,5,Yes,TIMING,DATETIME,
Events,end_datetime,End date/time of the event,C82516,,,No,No,6,Yes,TIMING,DATETIME,
Events,event_category,Category of related records.,C25372,,,No,No,7,No,GROUQUAL,TEXT,DECAT; DSCAT; CECAT; HOCAT; MHCAT
Events,event_subcategory,Sub-Category of related records.,C25692,,,No,No,8,No,GROUQUAL,TEXT,DSSCAT; MHSCAT
Events,prespecified,Used to indicate whether the event was pre-specified,C82510,,,No,No,9,No,RECOQUAL,TEXT,NY
Events,occurrence,Used when the occurrence of specific events is solicited to indicate whether or not a clinical event occurred.,C82438,,,No,No,10,Yes,RECOQUAL,TEXT,NY
Events,completion_status,The completion status indicates that a question was not answered.,C41202,,,No,No,11,Yes,RECOQUAL,TEXT,ND
