CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
DATATYPE,TEXT,Text,text,Text,1,,,Text data type (free text)
DATATYPE,INTEGER,Integer,integer,Integer,2,,,Integer data type (please specify the lenght)
DATATYPE,FLOAT,Float,float,Float,3,,,Float data type (please specify the lenght and the number of digit after the floating separator)
DATATYPE,DATE,Date,date,Date,4,,,Date data type (yyyy-mm-dd)
DATATYPE,TIME,Time,time,Time,5,,,Time data type (hh:mm)
DATATYPE,DATETIME,Date Time,date time,Date time,6,,,Date time data type (yy-mm-dd hh:mm)
DATATYPE,STRING,String,string,String,7,,,String data type
DATATYPE,BOOLEAN,Boolean,boolean,Boolean,8,,,Boolean data type
DATATYPE,DOUBLE,Double,double,Double,9,,,Double data type
DATATYPE,HEXBINARY,Hex Binary,hex binary,Hex binary,10,,,hex Binary data type
DATATYPE,BASE64BINARY,Base 64 Binary,base 64 binary,Base 64 binary,11,,,Base 64 Binary data type
DATATYPE,HEXFLOAT,hex Float,hex float,Hex float,12,,,hex Float data type
DATATYPE,BASE64FLOAT,Base64 Float,base 64 float,Base64 float,13,,,Base 64 Float data type
DATATYPE,PARTIALDATE,Partial Date,partial date,Partial date,14,,,Partial Date data type
DATATYPE,PARTIALTIME,Partial Time,partial time,Partial time,15,,,Partial Time data type
DATATYPE,PARTIALDATETIME,Partial Date Time,partial date time,Partial date time,16,,,Partial Date Time data type
DATATYPE,DURATIONDATETIME,Duration Date Time,duration date time,Duration date time,17,,,Duration Date Time data type
DATATYPE,INTERVALDATETIME,Intervale Date Time,interval date time,Intervale date time,18,,,Interval Date Time data type
DATATYPE,INCOMPLETEDATETIME,Incomplete Date Time,incomplete date time,Incomplete date time,19,,,Incomplete Date Time data type
DATATYPE,INCOMPLETEDATE,Incomplete Date,incomplete date,Incomplete date,20,,,Incomplete Date data type
DATATYPE,INCOMPLETETIME,Incomplete Time,incomplete time,Incomplete time,21,,,Incomplete Time data type
DATATYPE,URI,URI,uri,Uri,22,,,URI data type
DATATYPE,COMMENT,Comment,comment,Comment (not ODM specified),23,,,Term to describe an ODM ItemDef as a Comment
DATATYPE,BIT,BIT,bit,BIT (Sponsor Term),24,,,Term to describe a BIT that can only have 0 and 1
DATATYPE,CTTERM,CTterm,ctterm,CTTerm,25,,,CTTerm data type
