CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
NULLFLVR,ASKU,Asked but unknown,asked but unknown,Asked but unknown,1,,,Information was sought but not found (e.g. patient was asked but didn't know).
NULLFLVR,DER,Derived,derived,Derived,2,,,An actual value may exist but it must be derived from the information provided (usually an expression is provided directly).
NULLFLVR,INV,Invalid,invalid,Invalid,3,,,The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.
NULLFLVR,MSK,Masked,masked,Masked,4,,,There is information on this item available but it has not been provided by the sender due to security privacy or other reasons. There may be an alternate mechanism for gaining access to this information. WARNING ? Use of this null flavor does provide information that may be a breach of confidentiality even though no detailed data are provided. Its primary purpose is for those circumstances where it is necessary to inform the receiver that the information does exist without providing any detail.
NULLFLVR,NA,Not applicable,not applicable,Not Applicable,5,,,No proper value is applicable in this context (e.g. last menstrual period for a male).
NULLFLVR,NASK,Not asked,not asked,Not asked,6,,,This information has not been sought (e.g. patient was not asked).
NULLFLVR,NAV,Temporarily unavailable,temporarily unavailable,Temporarily unavailable,7,,,Information is not available at this time but it is expected that it will be available later.
NULLFLVR,NI,No information,no information,No information,8,,,The value is exceptional (missing/omitted/incomplete/improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.
NULLFLVR,NINF,Negative infinity,negative infinity,Negative infinity,9,,,Negative infinity of numbers.
NULLFLVR,OTH,Other,other,Other,10,,,The actual value is not a member of the set of permitted data values in the constrained value domain of a variable (e.g. concept not provided by required code system).
NULLFLVR,PINF,Positive infinity,positive infinity,Positive infinity,11,,,Positive infinity of numbers.
NULLFLVR,QS,Sufficient quantity,sufficient quantity,Sufficient quantity,12,,,The specific quantity is not known but is known to be non-zero and is not specified because it makes up the bulk of the material. 'Add 10 mg of ingredient X/ 50 mg of ingredient Y and sufficient quantity of water to 100 ml.' The null flavor would be used to express the quantity of water.
NULLFLVR,TRC,Trace,trace,Trace,13,,,The content is greater than zero but too small to be quantified.
NULLFLVR,UNC,Unencoded,unencoded,Unencoded,14,,,No attempt has been made to encode the information correctly but the raw source information is represented (usually in originalText).
NULLFLVR,UNK,Unknown,unknown,Unknown,15,,,A proper value is applicable but not known.
