CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
ROLE,IDENTIFIER,Identifier,identifier,Identifier,1,,,Sponsor terminology for Identifier role
ROLE,TOPIC,Topic,topic,Topic,2,,,Sponsor terminology for Topic role
ROLE,TIMING,Timing,timing,Timing,3,,,Sponsor terminology for Timing role
ROLE,GROUQUAL,Grouping Qualifier,grouping qualifier,Grouping qualifier,4,,,Sponsor terminology for Grouping Qualifier role
ROLE,RECOQUAL,Record Qualifier,record qualifier,Record qualifier,4,,,Sponsor terminology for Record Qualifier role
ROLE,VARIQUAL,Variable Qualifier,variable qualifier,Variable qualifier,5,,,Sponsor terminology for Variable Qualifier role
ROLE,RESUQUAL,Result Qualifier,result qualifier,Result qualifier,6,,,Sponsor terminology for Result Qualifier role
ROLE,RULEVARI,Rule Variable Qualifier,rule variable qualifier,Rule variable qualifier,7,,,Sponsor terminology for Rule Variable Qualifier role
ROLE,SYNOQUAL,Synonym Qualifier,synonym qualifier,Synonym qualifier,8,,,Sponsor terminology for Synonym Qualifier role
ROLE,TIMING,Timing Variable,timing variable,Timing variable,9,,,Sponsor terminology for Timing Variable role
