"basic_std","table","column","activity_item_class","label","order","type","length","displayformat","xmldatatype","xmlcodelist","core","origin","role","term","algorithm","qualifiers","comment","IGcomment","map_var_flag","fixed_mapping","include_in_raw","nn_internal","incl_cre_domain","xmlcodelistvalues"
"Y","Associated__Persons-APRELSUB","STUDYID","","Study Identifier","10","C","40","","text","","Req","Protocol","Identifier","","","UPPERCASE","","Unique identifier for a study.","*","","Y","","Y",""
"Y","Associated__Persons-APRELSUB","DOMAIN","","Domain Abbreviation","20","C","8","","text","","Req","Assigned","Identifier","","","UPPERCASE","","Four-character abbreviation for the domain, Associated__Persons-APRELSUB--.","*","","Y","","Y",""
"Y","Associated__Persons-APRELSUB","APID","","Associated Persons Identifier","30","C","60","","text","","Req","","Identifier","","","UPPERCASE","","Identifier for a single associated person, a group of associated persons, or a pool of associated persons. If APID identifies a pool, POOLDEF records must exist for each associated person.","Y","","Y","","Y",""
"Y","Associated__Persons-APRELSUB","__SEQ","","Sequence Number","40","N","8","","integer","","Req","Assigned","Identifier","","","","","Sequence number to ensure uniqueness of records within a domain for associated persons. Unique within APID within the domain.","*","","Y","","Y",""
"Y","Associated__Persons-APRELSUB","RSUBJID","","Related Subject","50","C","60","","text","","Exp","","Identifier","","","UPPERCASE","","Identifier for a related study subject or pool of study subjects. The subject(s) may be human or animal. RSUBJID will be populated with the USUBJID of the related subject or the POOLID of the related pool. RSUBJID will be null for data about associated persons who are related to the study but not to any of the study subjects.","Y","","Y","","Y",""
"Y","Associated__Persons-APRELSUB","RDEVID","","Related Device","60","C","40","","text","","Perm","","RecordQualifier","","","UPPERCASE","","Identifier for a related device. RDEVID will be populated with the SPDEVID of the related device.","Y","","Y","","Y",""
"Y","Associated__Persons-APRELSUB","SREL","","Subject, Device, or Study Relationship","70","C","40","","text","RELSUB","Req","","RecordQualifier","(RELSUB)","","UPPERCASE","","If RSUBJID is populated, describes the relationship of the associated person(s) identified in APID to the subject or pool identified in RSUBJID. If RDEVID is populated, describes the relationship of the associated person(s) identified in APID to the device identified in RDEVID. If RSUBJID and RDEVID are null, SREL describes the relationship of the associated person(s) identified in APID to the study identified in STUDYID.","Y","","Y","","Y",""
"","Associated__Persons-APRELSUB","__SPID","","Sponsor-Defined Identifier","80","C","40","","text","","Perm","","Identifier","","","UPPERCASE","Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page.","Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page.","*","","Y","","Y",""
"Y","Associated__Persons-APRELSUB","STUDYID","","Study Identifier","10","C","40","","text","","Req","Protocol","Identifier","","","UPPERCASE","","Unique identifier for a study.","","","","","",""
"Y","Associated__Persons-APRELSUB","APID","","Associated Persons Identifier","20","C","60","","text","","Req","","Identifier","","","UPPERCASE","","Identifier for a single associated person, a group of associated persons, or a pool of associated persons. If APID identifies a pool, POOLDEF records must exist for each associated person.","","","","","",""
"Y","Associated__Persons-APRELSUB","RSUBJID","","Related Subject or Pool Identifier","30","C","60","","text","","Exp","","Identifier","","","UPPERCASE","","Identifier for a related subject or pool of subjects. RSUBJID may be populated with the USUBJID of the related subject or the POOLID of the related pool. RSUBJID will be null for data about associated persons who are related to the study but not to any study subjects.","","","","","",""
"Y","Associated__Persons-APRELSUB","RDEVID","","Related Device Identifier","40","C","40","","text","","Perm","","RecordQualifier","","","UPPERCASE","","Identifier for a related device. RDEVID will be populated with the SPDEVID of the related device.","","","","","",""
"Y","Associated__Persons-APRELSUB","SREL","","Subject, Device, or Study Relationship","50","C","40","","text","RELSUB","Req","","RecordQualifier","(RELSUB)","","UPPERCASE","","If RSUBJID is populated, describes the relationship of the associated person(s) identified in APID to the subject or pool identified in RSUBJID. If RDEVID is populated, describes the relationship of the associated person(s) identified in APID to the subject or pool identified in RDEVID. If RSUBJID and RDEVID are null, SREL describes the relationship of the associated person(s) identified in APID to the study identified in STUDYID.","","","","","",""
"Y","Special-Purpose-CO","RDOMAIN","","Related Domain Abbreviation","10","C","8","","text","","Perm","Assigned","RecordQualifier","*","","UPPERCASE","Domain abbreviations for domains which are related to at least one other domain. Derived from parent record","Two-character abbreviation for the domain of the parent record(s). Null for comments collected on a general comments or additional information CRF page.","","","","","",""
"Y","Special-Purpose-CO","IDVAR","","Identifying Variable","20","C","8","","text","","Perm","Assigned","RecordQualifier","*","","UPPERCASE","","Identifying variable in the parent dataset that identifies the record(s) to which the comment applies. Examples AESEQ or CMGRPID. Used only when individual comments are related to domain records. Null for comments collected on separate CRFs.","Y","","Y","","",""
"Y","Special-Purpose-CO","IDVARVAL","","Identifying Variable Value","30","C","40","","text","","Perm","Assigned","RecordQualifier","","","UPPERCASE","","Value of identifying variable of the parent record(s). Used only when individual comments are related to domain records. Null for comments collected on separate CRFs.","Y","","Y","","",""
"Y","Special-Purpose-CO","COREF","comment_reference","Comment Reference","40","C","200","","text","","Perm","Assigned","RecordQualifier","","","UPPERCASE","For comments originating from the sponsor source system, the COREF value starts with EDC_FORM_COMMENT","Sponsor-defined reference associated with the comment. May be the CRF page number (e.g. 650), or a module name (e.g. DEMOG), or a combination of information that identifies the reference (e.g. 650-VITALS-VISIT 2).","","","","","",""
"Y","Special-Purpose-CO","COVAL","comment","Comment","50","C","200","","text","","Req","eDT","Topic","","","MIXEDCASE","","The text of the comment. Text over 200 characters can be added to additional columns COVAL1-COVALn. See Assumption 3.","","","","","",""
"","Special-Purpose-CO","COVAL1","","Comment 1","60","C","200","","text","","Perm","eDT","Topic","","","MIXEDCASE","","","Y","","Y","","",""
"","Special-Purpose-CO","COVAL2","","Comment 2","70","C","200","","text","","Perm","eDT","Topic","","","MIXEDCASE","","","Y","","Y","","",""
