basic_std,table,column,label,order,type,length,displayformat,xmldatatype,xmlcodelist,xmlcodelist_multi,core,origin,role,term,algorithm,qualifiers,comment,IGcomment,class_table,class_column,map_var_flag,fixed_mapping,include_in_raw,nn_internal,value_lvl_where_cols,value_lvl_label_col,value_lvl_collect_ct_val,value_lvl_ct_cdlist_id_col,enrich_build_order,enrich_rule,xmlcodelistvalues
Y,AE,STUDYID,Study Identifier,10,C,40,,text,,,Req,Protocol,Identifier,,,UPPERCASE,,Unique identifier for a study.,IDENTIFIERS,STUDYID,*,,Y,,,,,,,,
Y,AE,DOMAIN,Domain Abbreviation,20,C,8,,text,,,Req,Assigned,Identifier,AE,,UPPERCASE,,Two-character abbreviation for the domain.,IDENTIFIERS,DOMAIN,*,,Y,,,,,,60,sdtme_ae_teae_v$$ sdtme_std_qnam_v$$,
Y,AE,USUBJID,Unique Subject Identifier,30,C,60,,text,,,Req,Assigned,Identifier,,,UPPERCASE,Concatenation of STUDYID and DM.SUBJID,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,IDENTIFIERS,USUBJID,*,,Y,,,,,,,,
,AE,SPDEVID,Sponsor Device Identifier,40,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,,Sponsor-defined identifier for a device,IDENTIFIERS,SPDEVID,Y,,Y,,,,,,,,
Y,AE,AESEQ,Sequence Number,50,N,8,,integer,,,Req,Derived,Identifier,,Sequential number identifying records within each USUBJID,,,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,IDENTIFIERS,__SEQ,*,,Y,,,,,,,,
Y,AE,AEGRPID,Group ID,60,C,60,,text,,,Perm,,Identifier,,,UPPERCASE,,Used to tie together a block of related records in a single domain for a subject.,IDENTIFIERS,__GRPID,Y,,Y,,,,,,,,
Y,AE,AEREFID,Reference ID,70,C,40,,text,,,Perm,,Identifier,,,UPPERCASE,,Internal or external identifier such as a serial number on an SAE reporting form.,IDENTIFIERS,__REFID,Y,,Y,,,,,,,,
Y,AE,AESPID,Sponsor-Defined Identifier,80,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,,Sponsor-defined identifier. It may be pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on an Adverse Events page.,IDENTIFIERS,__SPID,*,,Y,,,,,,,,
,AE,AELNKID,Link ID,90,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,,Identifier used to link related records across domains. This may be a one-to- one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit.,IDENTIFIERS,__LNKID,Y,,Y,,,,,,,,
,AE,AELNKGRP,Link Group ID,100,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,,Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.,IDENTIFIERS,__LNKGRP,Y,,Y,,,,,,,,
Y,AE,AETERM,Reported Term for the Adverse Event,110,C,200,,text,,,Req,,Topic,,,UPPERCASE,,Verbatim name of the event.,EVENTS,__TERM,Y,,Y,,,,,,,,
Y,AE,AEMODIFY,Modified Reported Term,120,C,200,,text,,,Perm,,SynonymQualifier,,,UPPERCASE,,"If AETERM is modified to facilitate coding, then AEMODIFY will contain the modified text.",EVENTS,__MODIFY,Y,,Y,,,,,,,,
Y,AE,AELLT,Lowest Level Term,130,C,200,,text,,,Exp,Assigned,VariableQualifier,MedDRA,,MIXEDCASE,,Dictionary-derived text description of the Lowest Level Term.,EVENTS,__LLT,,,,,,,,,30,sdtme_std_cd_v$$,
Y,AE,AELLTCD,Lowest Level Term Code,140,N,8,,integer,,,Exp,Assigned,VariableQualifier,MedDRA,,,,Dictionary-derived code for the Lowest Level Term.,EVENTS,__LLTCD,Y,,Y,,,,,,30,sdtme_std_cd_v$$,
Y,AE,AEDECOD,Dictionary-Derived Term,150,C,200,,text,,,Req,Assigned,SynonymQualifier,MedDRA,,MIXEDCASE,,Dictionary-derived text description of AETERM or AEMODIFY. Equivalent to the Preferred Term (PT in MedDRA). The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes.,EVENTS,__DECOD,,,,,,,,,30,sdtme_std_cd_v$$,
Y,AE,AEPTCD,Preferred Term Code,160,N,8,,integer,,,Exp,Assigned,VariableQualifier,MedDRA,,,,Dictionary-derived code for the Preferred Term.,EVENTS,__PTCD,,,,,,,,,30,sdtme_std_cd_v$$,
