"basic_std","Table","Label","Class","XmlPath","XmlTitle","Structure","Purpose","Keys","SortKeys","State","Date","Standardref","comment","IGcomment","map_domain_flag","suppl_qual_flag","include_in_raw","gen_raw_seqno_flag","extended_domain","enrich_build_order"
"Y","AE","Adverse Events","EVENTS","ae.(FileType)","Adverse Events (FileTypeLabel)","One record per adverse event per subject","Tabulation","STUDYID USUBJID AEDECOD AESTDTC",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.2","Adverse events may be captured either as free text or a pre-specified list of terms.","The Adverse Events dataset includes clinical data describing ""any untoward medical occurrence in a patient or clinical investigation subject administered a pharmaceutical product and which does not necessarily have to have a causal relationship with this treatment"" (ICH E2A). The events included in the AE dataset should be consistent with the protocol requirements. Adverse events may be captured either as free text or via a pre-specified list of terms.","Y","Y","Y","Y",,60
,"AG","Procedure Agents","INTERVENTIONS","ag.(FileType)","Procedure Agents (FileTypeLabel)","One record per recorded intervention occurrence per subject","Tabulation","STUDYID USUBJID AGTRT AGDECOD AGSTDTC AGTPTNUM AGTPTREF",,"Final","2016-10-07","TAUG-DIABETES 1.0","A domain for the agents administered to the subject as part of a procedure or assessment as opposed to drugs, medications and therapies administered with therapeutic intent (Sponsor Defined domain based on TAUG-Diabetes v1).","Sponsor Defined","Y","Y","Y","Y",,610
,"APAE","AP Adverse Events","AP EVENTS","apae.(FileType)","AP Adverse Events (FileTypeLabel)","One record per adverse event per associated person","Tabulation","STUDYID APID AEDECOD AESTDTC",,"Final","2017-12-01","SDTMIG-AP 1.0","A domain containing adverse events for associated person (Sponsor Defined domain based on SDTMIG-AP v1).","Sponsor Defined","Y","Y","Y","Y",,20060
,"APCE","AP Clinical Events","AP EVENTS","apce.(FileType)","AP Clinical Events (FileTypeLabel)","One record per event per associated person","Tabulation","STUDYID APID CETERM CESTDTC",,"Final","2017-12-01","SDTMIG-AP 1.0","A domain containing clinical events for associated person (Sponsor Defined domain based on SDTMIG-AP v1).","Sponsor Defined","Y","Y","Y","Y",,20068
,"APCM","AP Concomitant Medications","AP INTERVENTIONS","apcm.(FileType)","AP Concomitant Medications (FileTypeLabel)","One record per recorded medication occurrence or constant-dosing interval per associated person","Tabulation","STUDYID APID CMTRT CMSTDTC CMTPTNUM CMTPTREF",,"Final","2017-12-01","SDTMIG-AP 1.0","A domain containing concomitant medications for associated person (Sponsor Defined domain based on SDTMIG-AP v1).","Sponsor Defined","Y","Y","Y","Y",,20080
,"APDD","AP Death Details","AP FINDINGS","apdd.(FileType)","AP Death Details (FileTypeLabel)","One record per finding per associated person","Tabulation","STUDYID APID DDTESTCD",,"Final","2017-12-01","SDTMIG-AP 1.0","A domain containing death details for associated person (Sponsor Defined domain based on SDTMIG-AP v1).","Sponsor Defined","Y","Y","Y","Y",,20620
,"APDM","AP Demographics","AP SPECIAL PURPOSE DOMAINS","apdm.(FileType)","AP Demographics (FileTypeLabel)","One record per associated person","Tabulation","STUDYID APID",,"Final","2016-09-21","SDTMIG-AP 1.0","A domain containing demography for associated person (Sponsor Defined domain based on SDTMIG-AP v1).","Sponsor Defined","Y","Y","Y","Y",,20008
,"APFACE","AP Findings About Clinical Events","AP FINDINGS ABOUT","apface.(FileType)","AP Findings About Clinical Events (FileTypeLabel)","One record per finding information per clinical event per associated person","Tabulation","STUDYID APID FACAT FASCAT FATESTCD FAOBJ FADTC FATPTNUM FATPTREF",,"Final","2017-12-01","SDTMIG-AP 1.0","A domain containing findings about clinical events for associated person (Sponsor Defined domain based on SDTMIG-AP v1).","Sponsor Defined","Y","Y","Y","Y",,20208
,"APHO","AP Healthcare Encounters","AP EVENTS","apho.(FileType)","AP Healthcare Encounters (FileTypeLabel)","One record per healthcare encounter per associated person","Tabulation","STUDYID APID HOSTDTC HOTERM",,"Final","2017-12-01","SDTMIG-AP 1.0","A domain containing heathcare encounters for associated person (Sponsor Defined domain based on SDTMIG-AP v1).","Sponsor Defined","Y","Y","Y","Y",,20220
,"APMH","AP Medical History","AP EVENTS","apmh.(FileType)","AP Medical History (FileTypeLabel)","One record per medical history event per associated persion","Tabulation","STUDYID APID MHDECOD",,"Final","2017-12-01","SDTMIG-AP 1.0","A domain containing the associated person's prior history at the start of the trial. Examples of subject medical history information could include general medical history, gynecological history, and primary diagnosis.M163 (Sponsor Defined domain based on SDTMIG-AP v1).","Sponsor Defined","Y","Y","Y","Y",,20268
