basic_std;table;column;label;order;type;length;displayformat;xmldatatype;xmlcodelist;xmlcodelist_multi;core;origin;origintype;originsource;role;term;algorithm;qualifiers;isnotcdiscstd;comment;IGcomment;class_table;class_column;map_var_flag;fixed_mapping;include_in_raw;nn_internal;value_lvl_where_cols;value_lvl_label_col;value_lvl_collect_ct_val;value_lvl_ct_cdlist_id_col;enrich_build_order;enrich_rule;xmlcodelistvalues
Y;AE;STUDYID;Study Identifier;10;C;40;;text;;;Req;Protocol;Protocol;Sponsor;Identifier;;;UPPERCASE;;;Unique identifier for a study.;IDENTIFIERS;STUDYID;*;;Y;;;;;;;;
Y;AE;DOMAIN;Domain Abbreviation;20;C;8;;text;;;Req;Assigned;Assigned;Sponsor;Identifier;AE;;UPPERCASE;;;Two-character abbreviation for the domain.;IDENTIFIERS;DOMAIN;*;;Y;;;;;;60;sdtme_ae_teae_v$$;
Y;AE;USUBJID;Unique Subject Identifier;30;C;60;;text;;;Req;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;Concatenation of STUDYID and DM.SUBJID;Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.;IDENTIFIERS;USUBJID;*;;Y;;;;;;;;
;AE;SPDEVID;Sponsor Device Identifier;40;C;80;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Sponsor-defined identifier for a device;IDENTIFIERS;SPDEVID;Y;;Y;;;;;;;;
Y;AE;AESEQ;Sequence Number;50;N;8;;integer;;;Req;Assigned;Assigned;Sponsor;Identifier;;Sequential number identifying records within each USUBJID;;;;Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.;IDENTIFIERS;__SEQ;*;;Y;;;;;;;;
Y;AE;AEGRPID;Group ID;60;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Used to tie together a block of related records in a single domain for a subject.;IDENTIFIERS;__GRPID;Y;;Y;;;;;;;;
Y;AE;AEREFID;Reference ID;70;C;40;;text;;;Perm;;Collected;;Identifier;;;UPPERCASE;;;Internal or external identifier such as a serial number on an SAE reporting form.;IDENTIFIERS;__REFID;Y;;Y;;;;;;;;
Y;AE;AESPID;Sponsor-Defined Identifier;80;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Sponsor-defined identifier. It may be pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on an Adverse Events page.;IDENTIFIERS;__SPID;*;;Y;;;;;;;;
;AE;AELNKID;Link ID;90;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier used to link related records across domains. This may be a one-to- one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit.;IDENTIFIERS;__LNKID;Y;;Y;;;;;;;;
;AE;AELNKGRP;Link Group ID;100;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.;IDENTIFIERS;__LNKGRP;Y;;Y;;;;;;;;
