activity_instance_class,variable_class,activity_item_class
GeneralObservation,DOMAIN,domain
GeneralObservation,__GRPID,group_id
GeneralObservation,__LNKID,link_id
GeneralObservation,__LNKGRP,link_group
GeneralObservation,APID,associated_persons_id
GeneralObservation,RDEVID,related_device_id
SubjectObservation,SUBJID,subject_id
SubjectObservation,USUBJID,unique_subject_id
SubjectObservation,RSUBJID,related_subject_id
Comments,COREFID,reference_id
Comments,RDOMAIN,related_domain_abbreviation
Comments,COREF,comment_reference
Comments,COVAL,comment
Comments,COEVAL,evaluator
Comments,COEVALID,evaluator_id
Comments,CODTC,collection_datetime
Demographics,BRTHDTC,date_of_birth
Demographics,AGE,age
Demographics,AGEU,age_unit
Demographics,SEX,sex
Demographics,RACE,race
Demographics,ETHNIC,ethnicity
Events,__REFID,reference_id
Events,__TERM,term
Events,__MODIFY,
Events,__LLT,
Events,__LLTCD,
Events,__DECOD,decod
Events,__PTCD,
Events,__HLT,
Events,__HLTCD,
Events,__HLGT,
Events,__HLGTCD,
Events,__CAT,event_category
Events,__SCAT,event_subcategory
Events,__PRESP,prespecified
Events,__OCCUR,event_occurred
Events,__STAT,completion_status
Events,__REASND,reason_not_done
Events,__BODSYS,
Events,__BDSYCD,
Events,__SOC,
Events,__SOCCD,
Events,__LOC,location
Events,__LAT,laterality
Events,__DIR,directionality
Events,__PORTOT,portion
Events,__PARTY,
Events,__PRTYID,
Events,__SEV,severity
Events,__SER,serious
Events,__ACN,action_taken
Events,__ACNOTH,
Events,__ACNDEV,
Events,__REL,
Events,__RLDEV,
Events,__RELNST,
Events,__PATT,
Events,__OUT,outcome
Events,__SCAN,
Events,__SCONG,congenital
Events,__SDISAB,disability
Events,__SDTH,death
Events,__SHOSP,hospitalisation
Events,__SLIFE,life_threatening
Events,__SOD,
Events,__SMIE,medically_imp_serious_event
Events,__CONTRT,
Events,__TOX,toxicity
Events,__TOXGR,toxicity_grade
Findings,__REFID,reference_id
Findings,__TESTCD,test_code
Findings,__TEST,test_name
Findings,__MODIFY,
Findings,__TSTDTL,test_detail
Findings,__CAT,finding_category
Findings,__SCAT,finding_subcategory
Findings,__POS,position
Findings,__BODSYS,
CategoricFindings,__ORRES,categoric_finding_original_result
NumericFindings,__ORRES,numeric_finding_original_result
NumericFindings,__ORRESU,numeric_finding_original_result_unit
NumericFindings,,unit_dimension
TextualFindings,__ORRES,textual_finding_original_result
Findings,__ORNRLO,normal_range_lower_limit
Findings,__ORNRHI,normal_range_upper_limit
Findings,__ORREF,
Findings,__STRESC,
Findings,__CONCU,
Findings,__STRESN,
Findings,__CONC,
NumericFindings,__STRESU,standard_unit
Findings,__STNRLO,
Findings,__STNRHI,
Findings,__STNRC,
Findings,__NRIND,normal_range_indicator
Findings,__RESSCL,
Findings,__STREFC,
Findings,__RESCAT,finding_result_category
Findings,__RESTYP,
Findings,__COLSRT,
Findings,__STREFN,
Findings,__TSTOPO,
Findings,__LLOD,
Findings,__STAT,completion_status
Findings,__MSCBCE,
Findings,__REASND,reason_not_done
Findings,__TMTHSN,
Findings,__CHRON,
Findings,__XFN,
Findings,__DISTR,
Findings,__NAM,vendor_name
Findings,__LOINC,loinc
Findings,__SPEC,specimen
Findings,__ANTREG,anatomical_region
Findings,__SPCCND,specimen_condition
Findings,__SPCUFL,
Findings,__LOC,location
Findings,__LAT,laterality
Findings,__DIR,directionality
Findings,__PORTOT,portion
Findings,__METHOD,method
Findings,__RUNID,
Findings,__ANMETH,analysis_method
Findings,__LEAD,lead_to_collect_measurement
Findings,__CSTATE,
Findings,__PTFL,
Findings,__BLFL,
Findings,__PDUR,
Findings,__FAST,fasting_status
Findings,__DRVFL,
Findings,__EVAL,evaluator
Findings,__CLSIG,
Findings,__EVALID,evaluator_id
Findings,__ACPTFL,
Findings,__LOBXFL,
Findings,__TOX,
Findings,__TOXGR,
Findings,__SEV,
Findings,__DTHREL,
Findings,__LLOQ,
Findings,__ULOQ,
Findings,__EXCLFL,
Findings,__OBJ,object_of_observation
Findings,__REPNUM,repitition_number
Findings,__STRESN,
Findings,__BLFL,
Findings,__DTC,collection_datetime
Findings,__ENDTC,observation_end_datetime
Findings,__TPT,time_point
Findings,__ELTM,elapsed_time
Findings,__EVLINT,evaluation_interval
Findings,__EVINTX,evaluation_interval_text
Interventions,__REFID,reference_id
Interventions,__TRT,treatment
Interventions,__MODIFY,
Interventions,__DECOD,
Interventions,__MOOD,mood
Interventions,__CAT,intervention_category
Interventions,__SCAT,intervention_subcategory
Interventions,__PRESP,prespecified
Interventions,__OCCUR,intervention_occurred
Interventions,__STAT,completion_status
Interventions,__REASND,reason_not_done
Interventions,__INDC,primary_indication
Interventions,__CLAS,
Interventions,__CLASCD,
Interventions,__DOSE,dose
Interventions,__DOSTXT,dose_description
Interventions,__DOSU,dose_unit
Interventions,__DOSFRM,dose_form
Interventions,__DOSFRQ,frequency
Interventions,__DOSTOT,total_daily_dose
Interventions,__DOSRGM,dose_regimen
Interventions,__ROUTE,route
Interventions,__LOT,lot_number
Interventions,__LOC,location
Interventions,__LAT,laterality
Interventions,__DIR,directionality
Interventions,__PORTOT,portion
Interventions,__FAST,fasting_status
Interventions,__PSTRG,strength
Interventions,__PSTRGU,strength_unit
Interventions,__TRTV,
Interventions,__VAMT,
Interventions,__VAMTU,
Interventions,__ADJ,reason_for_dose_ajdustment
Interventions,__RSDISC,
Interventions,__STDTC,observation_start_datetime
Interventions,__ENDTC,observation_end_datetime
Interventions,__ELTM,evaluation_interval
