CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
EVNTCAT,ADVERSE EVENT EVNT_CAT,Adverse Event,,,10,,,Adverse event
EVNTCAT,AE REQUIRING ADDITIONAL DATA EVNT_CAT,AE Requiring Additional Data,,,1,,,AE requiring additional data - For the SHARP forms
EVNTCAT,BLEEDING EVNT_CAT,Bleeding,,,1,,,Bleeding
EVNTCAT,BLEEDING EPISODE EVNT_CAT,Bleeding Episode,,,1,,,Bleeding Episode
EVNTCAT,BREAST NEOPLASMS EVNT_CAT,Breast Neoplasms,,,20,,,Breast Neoplasms. History of Breast Neoplasms
EVNTCAT,CARDIOVASCULAR DISEASE EVNT_CAT,Cardiovascular Disease,,,31,,,Cardiovascular Disease. History of Cardiovascular Disease
EVNTCAT,CGM EVNT_CAT,CGM,,,1,,,Continuous Glucose Monitor (CGM)
EVNTCAT,COLON NEOPLASMS EVNT_CAT,Colon Neoplasms,,,33,,,Colon Neoplasms. History of Colon Neoplasms
EVNTCAT,COMORBIDITIES EVNT_CAT,Comorbidities,,,1,,,Comorbidities
EVNTCAT,COMPLAINT EVNT_CAT,Complaint,,,35,,,Complaint Event Forms
EVNTCAT,CONCOMITANT ILLNESS EVNT_CAT,Concomitant Illness,,,34,,,Concomitant illness
EVNTCAT,DEMOGRAPHY EVNT_CAT,Demography,,,42,,,Demography
EVNTCAT,DETAILS OF HAEMOPHILIA EVNT_CAT,Details of Haemophilia,,,1,,,Details of Haemophilia
EVNTCAT,DEVICE PROBLEMS EVNT_CAT,Device Problems,,,10,,,Device problems
EVNTCAT,DEVICE USE EVNT_CAT,Device Use,,,1,,,Device Use
EVNTCAT,DEVICE USE ERROR EVNT_CAT,Device Use Error,,,1,,,Device Use Error
