CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
FINDSCAT,ABERRANT MOTOR BEHAVIOR FIND_SUB_CAT,Aberrant Motor Behavior,,,1,,,"ABERRANT MOTOR BEHAVIOR subcategory for Neuropsychiatric Inventory (NPI) (copyright JL Cummings, 1994, all rights reserved; permission for commercial use required; npiTEST.net)"
FINDSCAT,ABILITY TO DO THINGS - NEED TO DO FIND_SUB_CAT,Ability to Do Things You Need to Do,,,1,,,
FINDSCAT,ABILITY TO DO THINGS - WOULD LIKE TO DO FIND_SUB_CAT,Ability to Do Things You Would Like to,,,1,,,Ability to Do Things You Would Like to Do subcategory for Patient Global Impression
FINDSCAT,ABILITY TO WALK FIND_SUB_CAT,Ability to Walk,,,1,,,Ability to Walk subcategory for Patient Global Impression
FINDSCAT,ABOUT SCHOOL FIND_SUB_CAT,About School,,,1,,,"Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Children's Long Version Age Group II

Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Children's Long Version Age Group III

About School"
FINDSCAT,ABOUT YOUR FAMILY FIND_SUB_CAT,About Your Family,,,1,,,"Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Children's Long Version Age Group III

About your Family"
FINDSCAT,ABOUT YOUR FRIENDS FIND_SUB_CAT,About Your Friends,,,1,,,"Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Children's Long Version Age Group III

About your Friends"
FINDSCAT,ABSTRACTION FIND_SUB_CAT,Abstraction,,,1,,,Subcategory for Montreal Cognitive Assessment (MoCA) with individual items.
FINDSCAT,ACS ANGIOGRAPHY FIND_SUB_CAT,ACS Angiography,,,1,,,"Was angiography performed?"
FINDSCAT,ACS CHANGE IN CARDIAC BIOMARKER FIND_SUB_CAT,ACS Changes in Cardiac Biomarkers,,,1,,,"Was the diagnosis supported by a change in cardiac biomarkers?"
FINDSCAT,ACS CORONARY REVASCULARISATION FIND_SUB_CAT,ACS Coronary Revascularisation,,,1,,,"Was coronary revascularisation performed?"
FINDSCAT,ACS ECG CHANGES FIND_SUB_CAT,ACS ECG Changes,,,1,,,"Were there any clinically significant ECG changes?"
FINDSCAT,ACS STRESS TESTING FIND_SUB_CAT,ACS Stress Testing,,,1,,,"Was stress testing performed?"
FINDSCAT,ACTIONS TAKEN TO ENSURE GLYCAEMIC CONTROL FIND_SUB_CAT,Actions Taken to Ensure Glycaemic Contro,,,1,,,"Actions Taken to Ensure Glycaemic Control"
FINDSCAT,ACUTE CORONARY SYNDROME FIND_SUB_CAT,Acute Coronary Syndrome,,,1,,,"Sponsor-defined:
Acute Coronary Syndrome Adverse Event Reporting
"
FINDSCAT,ACUTE GALLSTONE DISEASE FIND_SUB_CAT,Acute gallstone disease,,,1,,,"Sponsor-defined: Acute gallstone disease
Adverse Event Reporting"
FINDSCAT,ACUTE KIDNEY INJURY BIOPSY FIND_SUB_CAT,AKI Biopsy,,,1,,,Acute Kidney Injury: Kidney Biopsy details
