"Table","Label","Class","LEVEL_2_CLASS_IN_ACTIVITYINSTANCECLASS"
"AE","Adverse Events","EVENTS","Event"
"AG","Procedure Agents","INTERVENTIONS","Intervention"
"APAE","AP Adverse Events","AP EVENTS","Event"
"APCE","AP Clinical Events","AP EVENTS","Event"
"APCM","AP Concomitant Medications","AP INTERVENTIONS","Intervention"
"APDD","AP Death Details","AP FINDINGS","Finding"
"APDM","AP Demographics","AP SPECIAL PURPOSE DOMAINS","SpecialPurpose"
"APFACE","AP Findings About Clinical Events","AP FINDINGS ABOUT","Finding"
"APHO","AP Healthcare Encounters","AP EVENTS","Event"
"APMH","AP Medical History","AP EVENTS","Event"
"APQS","AP Questionnaire","AP FINDINGS","Finding"
"APRP","AP Reproductive System Findings","AP FINDINGS","Finding"
"APRS","AP Disease Response and Clin Class","AP FINDINGS","Finding"
"APSC","AP Characteristics","AP FINDINGS","Finding"
"APVS","AP Vital Signs","AP FINDINGS","Finding"
"APZA","AP Event Adjudication Results","AP FINDINGS ABOUT","Finding"
"CE","Clinical Events","EVENTS","Event"
"CM","Concomitant Medications","INTERVENTIONS","Intervention"
"CO","Comments","SPECIAL PURPOSE DOMAINS","SpecialPurpose"
"CV","Cardiovascular System Findings","FINDINGS","Finding"
"DA","Drug Accountability","FINDINGS","Finding"
"DD","Death Details","FINDINGS","Finding"
"DE","Device Events","EVENTS","Event"
"DI","Study Device Identifiers","SPECIAL PURPOSE DOMAINS","DeviceSpecialPurpose"
"DM","Demographics","SPECIAL PURPOSE DOMAINS","SpecialPurpose"
"DO","Device Properties","FINDINGS","Finding"
"DR","Device-Subject Relationships","SPECIAL PURPOSE DOMAINS",""
"DS","Disposition","EVENTS","Event"
"DT","Device Tracking and Disposition","EVENTS","Event"
"DU","Device In-Use","FINDINGS","Finding"
"DV","Protocol Deviations","EVENTS","Event"
"DX","Device Exposure","INTERVENTIONS","Intervention"
"EC","Exposure as Collected","INTERVENTIONS","Intervention"
"EG","ECG Test Results","FINDINGS","Finding"
"EX","Exposure","INTERVENTIONS","Intervention"
"FA","Findings About","FINDINGS ABOUT","Finding"
"FAXB","Findings About Bleeding Events","FINDINGS ABOUT","Finding"
"FT","Functional Tests","FINDINGS","Finding"
"HO","Healthcare Encounters","EVENTS","Event"
"IE","Inclusion/Exclusion Criteria Not Met","FINDINGS","Finding"
"IS","Immunogenicity Specimen Assessment","FINDINGS","Finding"
"LB","Laboratory Test Results","FINDINGS","Finding"
"MB","Microbiology Specimen","FINDINGS","Finding"
"MH","Medical History","EVENTS","Event"
"MI","Microscopic Findings","FINDINGS","Finding"
"ML","Meal Data","INTERVENTIONS","Intervention"
"MO","Morphology","FINDINGS","Finding"
"MS","Microbiology Susceptibility","FINDINGS","Finding"
"OE","Ophthalmic Examinations","FINDINGS","Finding"
"PC","Pharmacokinetics Concentrations","FINDINGS","Finding"
"PE","Physical Examination","FINDINGS","Finding"
"PF","Pharmacogenomics/Genetics Findings","FINDINGS","Finding"
"PP","Pharmacokinetics Parameters","FINDINGS","Finding"
"PR","Procedures","INTERVENTIONS","Intervention"
"QS","Questionnaires","FINDINGS","Finding"
"RE","Respiratory System Findings","FINDINGS","Finding"
"RP","Reproductive System Findings","FINDINGS","Finding"
"RS","Disease Response and Clin Classification","FINDINGS","Finding"
"SC","Subject Characteristics","FINDINGS","Finding"
"SE","Subject Elements","SPECIAL PURPOSE DOMAINS",""
"SR","Skin Response","FINDINGS ABOUT","Finding"
"SS","Subject Status","FINDINGS","Finding"
"SU","Substance Use","INTERVENTIONS","Intervention"
"SV","Subject Visits","SPECIAL PURPOSE DOMAINS","SpecialPurpose"
"TA","Trial Arms","TRIAL DESIGN",""
"TD","Trial Disease Assessments","TRIAL DESIGN",""
"TE","Trial Elements","TRIAL DESIGN",""
"TI","Trial Inclusion/Exclusion Criteria","TRIAL DESIGN",""
"TR","Tumor Results","FINDINGS","Finding"
"TS","Trial Summary","TRIAL DESIGN",""
"TU","Tumor Identification","FINDINGS","Finding"
"TV","Trial Visits","TRIAL DESIGN",""
"VS","Vital Signs","FINDINGS","Finding"
"XA","Physical Activity","FINDINGS","Finding"
"XB","Bleeding Events","EVENTS","Event"
"XH","Hypoglycaemic Events","EVENTS","Event"
"XR","Hyperglycaemic Events","EVENTS","Event"
"XS","Polysomnography Data","FINDINGS","Finding"
"ZA","Event Adjudication Results","FINDINGS ABOUT","Finding"
"ZE","Event Related Treatments","INTERVENTIONS","Intervention"
"ZL","Laboratory Test Results-SI Units","FINDINGS","Finding"
"ZV","Vital Signs-SI Units","FINDINGS","Finding"
