CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
FLWCRTGRP,INFORMED CONSENT FLWCRTGRP,INFORMED CONSENT,informed consent,Informed consent flowchart group,1,,,Informed consent flowchart group
FLWCRTGRP,ELIGIBILITY AND OTHER CRITERIA FLWCRTGRP,ELIGIBILITY AND OTHER CRITERIA,eligibility and other criteria,Eligibility and other criteria flowchart group,2,,,Eligibility and other criteria flowchart group
FLWCRTGRP,SUBJECT RELATED INFORMATION FLWCRTGRP,SUBJECT RELATED INFORMATION,subject related information,Subject related information flowchart group,3,,,Subject related information flowchart group
FLWCRTGRP,EFFICACY FLWCRTGRP,EFFICACY,efficacy,Efficacy flowchart group,4,,,Efficacy flowchart group
FLWCRTGRP,SAFETY FLWCRTGRP,SAFETY,safety,Safety flowchart group,5,,,Safety flowchart group
FLWCRTGRP,IMMUNOGENICITY FLWCRTGRP,IMMUNOGENICITY,immunogenicity,Immunogenicity flowchart group,6,,,Immunogenicity flowchart group
FLWCRTGRP,PHARMACOKINETICS FLWCRTGRP,PHARMACOKINETICS,pharmacokinetics,Pharmacokinetics flowchart group,7,,,Pharmacokinetics flowchart group
FLWCRTGRP,PHARMACODYNAMICS FLWCRTGRP,PHARMACODYNAMICS,pharmacodynamics,Pharmacodynamics flowchart group,8,,,Pharmacodynamics flowchart group
FLWCRTGRP,GENETICS FLWCRTGRP,GENETICS,genetics,Genetics flowchart group,9,,,Genetics flowchart group
FLWCRTGRP,BIOMARKERS FLWCRTGRP,BIOMARKERS,biomarkers,Biomarkers flowchart group,10,,,Biomarkers flowchart group
FLWCRTGRP,HUMAN BIOSAMPLES FLWCRTGRP,HUMAN BIOSAMPLES,human biosamples,Human biosamples flowchart group,11,,,Human biosamples flowchart group
FLWCRTGRP,HEALTH ECONOMICS FLWCRTGRP,HEALTH ECONOMICS,health economics,Health economics flowchart group,12,,,Health economics flowchart group
FLWCRTGRP,TRIAL MATERIAL FLWCRTGRP,TRIAL MATERIAL,trial material,Trial material flowchart group,13,,,Trial material flowchart group
FLWCRTGRP,REMINDERS FLWCRTGRP,REMINDERS,reminders,Reminders flowchart group,13,,,Reminders flowchart group
FLWCRTGRP,HIDDEN FLWCRTGRP,HIDDEN,hidden,Hidden flowchart group,14,,,Hidden flowchart group
