CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
REGISTID,CLINICALTRIALS.GOV,ClinicalTrials.gov ID,clinicaltrials.gov id,ClinicalTrials.gov ID,1,,,Sponsor terminology for Registry Identifier (FDA)
REGISTID,EUDRACTID,EUDRACT ID,eudract id,EUDRACT ID,2,,,Sponsor terminology for Registry Identifier (EMA)
REGISTID,UNIVERSALTRIALNUMBER,Universal Trial Number (UTN),universal trial number (utn),Universal Trial Number (UTN),3,,,Sponsor terminology for Registry Identifier (UTN)
REGISTID,JAPANTRIALREGISTRYID,Japanese Trial Registry ID (JAPIC),japanese trial registry id (japic),Japanese Trial Registry ID (JAPIC),4,,,Sponsor terminology for Registry Identifier (PMDA)
REGISTID,INVESTIGATIONALNEWDRUGAPPLICATION,Investigational New Drug Application (IND) Number,investigational new drug application (ind) number,Investigational New Drug Application (IND) Number,5,,,Sponsor terminology for Registry Identifier (FDA)
REGISTID,WHOID,WHO ID,who id,WHO ID,6,,,Sponsor terminology for Registry Identifier (WHO)
REGISTID,EUTRIALNUMBER,EU Trial Number,eu trial number,EU Trial Number,7,,,Sponsor terminology for Registry Identifier (EMA)
REGISTID,CIVIDSINNUM,CIV-ID/SIN Number,civ-id/sin number,CIV-ID/SIN Number,8,,,Sponsor terminology for Registry Identifier (EMA)
REGISTID,NCTID,National Clinical Trial Number,national clinical trial number,National Clinical Trial Number,9,,,Sponsor terminology for Registry Identifier (FDA)
REGISTID,JAPANTRIALREGISTRYNUMBER,Japanese Trial Registry Number (jRCT),japanese trial registry number (jrct),Japanese Trial Registry Number (jRCT),10,,,Sponsor terminology for Registry Identifier (PMDA)
REGISTID,NMPANUMBER,National Medical Products Administration (NMPA) Number,national medical products administration (nmpa) number,National Medical Products Administration (NMPA) Number,11,,,Sponsor terminology for Registry Identifier (NMPA)
REGISTID,EUDAMEDSRN,EUDAMED SRN Number,eudamed srn number,EUDAMED SRN Number,12,,,Sponsor terminology for Registry Identifier (EMA)
REGISTID,IDENUMBER,Investigational Device Exemption (IDE) Number,investigational device exemption (ide) number,Investigational Device Exemption (IDE) Number,13,,,Sponsor terminology for Registry Identifier (FDA)
