basic_std;table;column;label;order;type;length;displayformat;xmldatatype;xmlcodelist;core;origin;origintype;originsource;role;term;algorithm;qualifiers;isnotcdiscstd;comment;IGcomment;map_var_flag;fixed_mapping;include_in_raw;nn_internal;incl_cre_domain;xmlcodelistvalues
Y;AP;STUDYID;Study Identifier;10;C;40;;text;;Req;Protocol;Protocol;Sponsor;Identifier;;;UPPERCASE;;;Unique identifier for a study.;*;;Y;;Y;
Y;AP;DOMAIN;Domain Abbreviation;20;C;8;;text;;Req;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Four-character abbreviation for the domain, AP--.;*;;Y;;Y;
Y;AP;APID;Associated Persons Identifier;30;C;60;;text;;Req;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier for a single associated person, a group of associated persons, or a pool of associated persons. If APID identifies a pool, POOLDEF records must exist for each associated person (see Section 4.1.3, Pool Definition Dataset and Section 6, Applying Model Fundamentals to Associated Persons).;Y;;Y;;Y;
Y;AP;__SEQ;Sequence Number;40;N;8;;integer;;Req;Assigned;Assigned;Sponsor;Identifier;;;;;;Sequence number to ensure uniqueness of records within a domain for associated persons. Unique within APID within the domain.;*;;Y;;Y;
Y;AP;RSUBJID;Related Subject or Pool Identifier;50;C;60;;text;;Exp;;;;Record Qualifier;;;UPPERCASE;;;Identifier for a related subject or pool of subjects. RSUBJID may be populated with the USUBJID of the related subject or the POOLID of the related pool. RSUBJID will be null for data about associated persons who are related to the study but not to any study subjects.are related to the study but not to any of the study subjects.;Y;;Y;;Y;
Y;AP;RDEVID;Related Device Identifier;60;C;40;;text;;Perm;;;;Record Qualifier;;;UPPERCASE;;;Identifier for a related device. RDEVID will be populated with the SPDEVID of the related device.;Y;;Y;;Y;
Y;AP;SREL;Subject, Device, or Study Relationship;70;C;40;;text;RELSUB;Req;;;;Record Qualifier;(RELSUB);;UPPERCASE;;;If RSUBJID is populated, describes the relationship of the associated person(s) identified in APID to the subject or pool identified in RSUBJID. If RDEVID is populated, describes the relationship of the associated person(s) identified in APID to the device identified in RDEVID. If RSUBJID and RDEVID are null, SREL describes the relationship of the associated person(s) identified in APID to the study identified in STUDYID.;Y;;Y;;Y;
Y;APRELSUB;STUDYID;Study Identifier;10;C;40;;text;;Req;Protocol;Protocol;Sponsor;Identifier;;;UPPERCASE;;;Unique identifier for a study.;;;;;;
Y;APRELSUB;APID;Associated Persons Identifier;20;C;60;;text;;Req;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier for a single associated person, a group of associated persons, or a pool of associated persons. If APID identifies a pool, POOLDEF records must exist for each associated person (see Section 4.1.3, Pool Definition Dataset and Section 6, Applying Model Fundamentals to Associated Persons).;;;;;;
Y;APRELSUB;RSUBJID;Related Subject or Pool Identifier;30;C;60;;text;;Exp;CRF;Collected;Investigator;Record Qualifier;;;UPPERCASE;;;Identifier for a related subject or pool of subjects. RSUBJID may be populated with the USUBJID of the related subject or the POOLID of the related pool.  RSUBJID will be null for data about associated persons who are related to the study but not to any study subjects.;;;;;;
Y;APRELSUB;RDEVID;Related Device Identifier;40;C;40;;text;;Perm;CRF;Collected;Investigator;Record Qualifier;;;UPPERCASE;;;Identifier used to identify a related subject or pool of subjects. RSUBJID will be populated with either the USUBJID of the related subject or the POOLID of the related pool.;;;;;;
Y;APRELSUB;SREL;Subject, Device, or Study Relationship;50;C;40;;text;RELSUB;Req;CRF;Collected;Investigator;Record Qualifier;(RELSUB);;UPPERCASE;;;Describes the relationship of the subject identified in USUBJID or the pool identified in POOLID to the subject or pool identified in RSUBJID.;;;;;;
Y;CO;RDOMAIN;Related Domain Abbreviation;10;C;8;;text;;Perm;Assigned;Assigned;Sponsor;Record Qualifier;*;;UPPERCASE;;Domain abbreviations for domains which are related to at least one other domain. Derived from parent record;Domain Abbreviation of the parent record(s). Null for records collected on general comments or additional information CRF page.;Y;;Y;;;
Y;CO;IDVAR;Identifying Variable;20;C;8;;text;;Perm;Assigned;Assigned;Sponsor;Record Qualifier;*;;UPPERCASE;;;Identifying variable in the parent dataset that identifies the record(s) to which the comment applies. Examples: AESEQ or CMGRPID. Used only when individual comments are related to domain records. Null for comments collected on separate CRFs.;Y;;Y;;;
Y;CO;IDVARVAL;Identifying Variable Value;30;C;40;;text;;Perm;Assigned;Assigned;Sponsor;Record Qualifier;;;UPPERCASE;;;Value of identifying variable of the parent record(s). Null for comments collected on separate CRFs.;Y;;Y;;;
Y;CO;COREF;Comment Reference;40;C;200;;text;;Perm;Assigned;Assigned;Sponsor;Record Qualifier;;;UPPERCASE;;For comments originating from the sponsor source system, the COREF value starts with EDC_FORM_COMMENT;"Sponsor-defined reference associated with the comment. May be the CRF page number (e.g., 650), or a module name (e.g., ""DEMOG""), or a combination of information that identifies the reference (e.g., ""650-VITALS-VISIT 2"").";Y;;Y;;;
Y;CO;COVAL;Comment;50;C;200;;text;;Req;eDT;Collected;Vendor;Topic;;;MIXEDCASE;;;The text of the comment. Text over 200 characters can be added to additional columns COVAL1-COVALn.;Y;;Y;;;
;CO;COVAL1;Comment 1;60;C;200;;text;;Perm;eDT;Collected;Vendor;Topic;;;MIXEDCASE;;;;Y;;Y;;;
;CO;COVAL2;Comment 2;70;C;200;;text;;Perm;eDT;Collected;Vendor;Topic;;;MIXEDCASE;;;;Y;;Y;;;
;CO;COVAL3;Comment 3;80;C;200;;text;;Perm;eDT;Collected;Vendor;Topic;;;MIXEDCASE;;;;Y;;Y;;;
;CO;COVAL4;Comment 4;90;C;200;;text;;Perm;eDT;Collected;Vendor;Topic;;;MIXEDCASE;;;;Y;;Y;;;
;CO;COVAL5;Comment 5;100;C;200;;text;;Perm;eDT;Collected;Vendor;Topic;;;MIXEDCASE;;;;Y;;Y;;;
