CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
UNITDIM,WEIGHT,Weight,Weight,,123,,SDTM CT,Weight
UNITDIM,VOLUMETRIC RADIOACTIVITY,Volumetric radioactivity,Volumetric radioactivity,,122,,SDTM CT,"Volumetric radioactivity concentration"
UNITDIM,VOLUMETRIC FLOW RATE,Volumetric flow rate,Volumetric flow rate,,122,,SDTM CT,Volumetric flow rate
UNITDIM,VOLUME PER AREA,Volumen per Area,Volumen per Area,,103,,SDTM CT,Volume as defined by the amount of a three dimensional space occupied by an object or the capacity of a space or container divided by area as defined by the extent of a 2-dimensional surface enclosed within a boundary.
UNITDIM,VOLUME,Volume,Volume,,122,,SDTM CT,"Example: mL (for millilitre).
Wikipedia: The volume of any solid, liquid, or gas is how much three-dimensional space it occupies, often quantified numerically."
UNITDIM,VELOCITY,Velocity,Velocity,,121,,SDTM CT,Measure of speed and velocity
UNITDIM,U_IU Concentration,U/IU Concentration,U/IU Concentration,,121,,SDTM CT,"U/IU Concentration. Combining Unit Concentration and IU concentration"
UNITDIM,U CONCENTRATION,U Concentration,U Concentration,,121,,SDTM CT,"Unit Concentration codelist to capture concentrations measured in U/ml, U/L ect."
UNITDIM,TIME TIMES CONCENTRATION,Time times concentration,Time times concentration,,202001,,SDTM CT,Time times concentration
UNITDIM,TIME,Time,Time,,120,,SDTM CT,"Examples: s (for seconds), min (for minutes).
Wikipedia: A component of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions of objects."
UNITDIM,TEMPERATURE,Temperature,Temperature,,120,,SDTM CT,Temperature
UNITDIM,SCORE,Score,Score,,119,,SDTM CT,"Score - often used in questionnaires, where the response is on e.g a scale from 1-10, i.e. no unit. Also to be used for scales like VAS scales "
UNITDIM,RESPIRATORY RATE,Respiratory rate,Respiratory rate,,118,,SDTM CT,Example: breaths/min (for Respiratory rate).
UNITDIM,RELATIVE WEIGHT,Relative weight,Relative weight,,231,,SDTM CT,Relative weight e.g. nmol/kg
UNITDIM,RELATIVE VOLUME,Relative volume,Relative volume,,118,,SDTM CT,Example: mL/kg
UNITDIM,RELATIVE MASS FLOW RATE,Relative Mass Flow Rate,Relative Mass Flow Rate,,118,,SDTM CT,"Mass of a substance relative to bodyweight that passes through a given surface per unit time, e.g. mg/kg/min."
UNITDIM,RELATIVE FLOW RATE,Relative flow rate,Relative flow rate,,118,,SDTM CT,Example: mL/h/kg
UNITDIM,RELATIVE DOSE UNIT,Relative Dose Unit,Relative Dose Unit,,117,,SDTM CT,"Relative dose unit, to be used for derived variables in subj_num_find reg. dosing that are not mapped to subj_comp_dos"
UNITDIM,RADIOACTIVITY,Radioactivity,Radioactivity,,116,,SDTM CT,Radioactivity
UNITDIM,PRESSURE,Pressure,Pressure,,116,,SDTM CT,"Example: mmHg.
The force applied to a unit area of surface."
UNITDIM,PERCENTAGE,Percentage,Percentage,,116,,SDTM CT,Percentage. Example % for HbA1c
UNITDIM,OSMOLALITY,Osmolality,Osmolality,,501,,SDTM CT,"CDISC submission value:OSMLTY
CDISC code: C74801
CDISC synonym: Osmolality
CDISC definition: A measurement of the osmoles of solute per unit of biological specimen.
"
UNITDIM,OPTICAL DENSITY,Optical Density,Optical Density,,1,,SDTM CT,Optical Density
UNITDIM,NO UNIT,no unit,no unit,,1,,SDTM CT,no unit
UNITDIM,MICROSCOPY,Microscopy,Microscopy,,115,,SDTM CT,"Microscopy"
UNITDIM,MICROSCOPE DEPENDENT COUNTS,Microscope dependent counts,Microscope dependent counts,,116,,SDTM CT,A dimention to contain the countscounts dependent on the microscope making the counting possible.
UNITDIM,MASS FRACTION,Mass fraction,Mass fraction,,113,,SDTM CT,Example: mg/kg
UNITDIM,MASS FLOW RATE,Mass Flow Rate,Mass Flow Rate,,113,,SDTM CT,"Mass of a substance that passes through a given surface per unit time(wikipedia), e.g. mg/min."
UNITDIM,LENGTH PER TIME,Length per time,Length per time,,201505,,SDTM CT,Sponsor defined: Length per time
UNITDIM,LENGTH,Length,Length,,112,,SDTM CT,Length
UNITDIM,IU CONCENTRATION,IU Concentration,IU Concentration,,109,,SDTM CT,"International Unit Concentration codelist to capture concentrations measured in IU/ml, IU/L ect."
UNITDIM,INHIBITOR ACTIVITY,Inhibitor activity,Inhibitor activity,,1,,SDTM CT,"Sponsor defined: Inhibitor activity"
UNITDIM,FLOW,Flow,Flow,,106,,SDTM CT,"Example: mL/s.
Volume per time"
UNITDIM,EQUIVALENT RATE,Equivalent Rate,Equivalent Rate,,112,,SDTM CT,"Equivalent Rate
The equivalent of a substance is the amount of the substance multiplied by its valence.  For example, 1 mEq = 39 mg of potassium or 23 mg of sodium or  35.4 mg of chlorine."
UNITDIM,ENERGY EXPENDITURE,Energy Expenditure,Energy Expenditure,,105,,SDTM CT,"Used to measure energy burned per unit of time, e.g cal/hr, kJ/min?"
UNITDIM,ENERGY,Energy,Energy,,105,,SDTM CT,"Energy
CDISC not found
"
UNITDIM,ELIMINATION,Elimination,Elimination,,104,,SDTM CT,"Measure of elimination per time unit. Used for terminal half life"
UNITDIM,DOSE UNIT RATIO,Dose unit ratio,Dose unit ratio,,105,,SDTM CT,Dose unit ratio - e.g. for the Insulin:Carbohydrate ratio
UNITDIM,DOSE UNIT PER TIME,Dose unit per time,Dose unit per time,,104,,SDTM CT,"Dose unit per time"
UNITDIM,INSULIN DOSE UNIT,Insulin Dose Unit,Insulin Dose Unit,,104,,SDTM CT,"Dose unit, to be used for derived variables in subj_num_find reg. dosing that are not mapped to subj_comp_dos"
UNITDIM,DOSE RATE,Dose Rate,Dose Rate,,104,,SDTM CT,"Unit used to measure the amount per weight per unit of time, e.g. mg/kg/min. Can also be used for Infusion rates, oxidation rates, calorimetic rates etc.
NCI definition: The strength of a treatment given over a period of time."
UNITDIM,DICHOTOMY,Dichotomy,Dichotomy,,104,,SDTM CT,"A dimension to hold numeric boolean- like units"
UNITDIM,DEGREES,Degrees,Degrees,,15,,SDTM CT,"CDISC submission value:deg
CDISC code: C68667
CDISC synonym: Degree Unit of Plane Angle
CDISC definition: A unit of plane angle measurement equal to the length of the arc cut out by the angle, divided by the circumference of the circle, and multiplied by 360. The symbol for degrees is a small superscript circle. One radian is about 57 degrees and one degree is pi/180 radians.(NCI)"
UNITDIM,DECIBEL PER LENGTH,Decibel per length,Decibel per length,,240,,SDTM CT,"Decibel per length
Eg: dB/m"
UNITDIM,COUNT PER TIME,Count per time,Count per time,,99,,SDTM CT,Count per time
UNITDIM,COUNT,Count,Count,,103,,SDTM CT,Dimension that holds outcomes(numbers) of count variables
UNITDIM,CONCENTRATION PER UNIT,Concentration per unit,Concentration per unit,,103,,SDTM CT,"Concentration per unit, example: mmol/L/U"
