CT_CD_LIST_SUBMVAL,CT_SUBMVAL,CT_NAME,NAME_SENTENSE_CASE,ORDER,DEFINITION
VISSUBLB,DAY1,Day 1,day 1,1,Sub visit day 1
VISSUBLB,DAY2,Day 2,day 2,2,Sub visit day 2
VISSUBLB,DAY3,Day 3,day 3,3,Sub visit day 3
VISSUBLB,DAY4,Day 4,day 4,4,Sub visit day 4
VISSUBLB,DAY5,Day 5,day 5,5,Sub visit day 5
VISSUBLB,DAY6,Day 6,day 6,6,Sub visit day 6
VISSUBLB,DAY7,Day 7,day 7,7,Sub visit day 7
VISSUBLB,DAY8,Day 8,day 8,8,Sub visit day 8
VISSUBLB,DAY9,Day 9,day 9,9,Sub visit day 9
VISSUBLB,DAY10,Day 10,day 10,10,Sub visit day 10
VISSUBLB,DAY11,Day 11,day 11,11,Sub visit day 11
VISSUBLB,DAY12,Day 12,day 12,12,Sub visit day 12
VISSUBLB,DAY13,Day 13,day 13,13,Sub visit day 13
VISSUBLB,DAY14,Day 14,day 14,14,Sub visit day 14
VISSUBLB,DAY15,Day 15,day 15,15,Sub visit day 15
